expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
賢明,けんめい,현명함·지혜,JLPT_1 JLPT,rF6VPIq@Kt,問題が深刻になる前に相談するのが賢明だ。,もんだいがしんこくになるまえにそうだんするのがけんめいだ。,문제가 심각해지기 전에 상담하는 것이 현명하다.
倹約,けんやく,검약·절약,JLPT_1 JLPT,G)qGN7wCPF,毎月の支出を見直して倹約に努めている。,まいつきのししゅつをみなおしてけんやくにつとめている。,매달 지출을 재검토하며 절약에 힘쓰고 있다.
原油,げんゆ,원유,JLPT_1 JLPT,mqzQ4phBV%,国際情勢の影響で原油の価格が上がった。,こくさいじょうせいのえいきょうでげんゆのかかくがあがった。,국제 정세의 영향으로 원유 가격이 올랐다.
兼用,けんよう,겸용,JLPT_1 JLPT,Q[mY;6;Blm,晴雨兼用の傘を一本持ち歩いている。,せいうけんようのかさをいっぽんもちあるいている。,맑은 날과 비 오는 날 모두 쓸 수 있는 우산 하나를 가지고 다닌다.
権力,けんりょく,권력·권세,JLPT_1 JLPT,zLBVbQJht),指導者に権力が集中する危険性を指摘した。,しどうしゃにけんりょくがしゅうちゅうするきけんせいをしてきした。,지도자에게 권력이 집중될 위험성을 지적했다.
言論,げんろん,언론,JLPT_1 JLPT,j=]X!_Sn:<,民主社会では言論の自由が保障されるべきだ。,みんしゅしゃかいではげんろんのじゆうがほしょうされるべきだ。,민주 사회에서는 언론의 자유가 보장되어야 한다.
故～,こ～,고(故)~,JLPT_1 JLPT,l<k2Hl<qF:,式には故山田氏の家族も参列した。,しきにはこやまだしのかぞくもさんれつした。,고 야마다 씨의 가족도 식에 참석했다.
語彙,ごい,어휘·단어장,JLPT_1 JLPT,dg-x#L-S>s,新聞を読むと専門的な語彙が身につく。,しんぶんをよむとせんもんてきなごいがみにつく。,신문을 읽으면 전문적인 어휘를 익힐 수 있다.
恋する,こいする,사랑에 빠지다·사랑하다,JLPT_1 JLPT,x>yH@(e$>B,彼は旅先で出会った女性に恋した。,かれはたびさきでであったじょせいにこいした。,그는 여행지에서 만난 여성을 사랑하게 되었다.
甲,こう,갑(첫 번째)·껍데기,JLPT_1 JLPT,gr(P$T&hE),甲は乙に対して代金を支払うものとする。,こうはおつにたいしてだいきんをしはらうものとする。,갑은 을에게 대금을 지급하는 것으로 한다.
～光,～こう,빛,JLPT_1 JLPT,dR[Ye:I0gD,太陽光を利用して電気をつくる。,たいようこうをりようしてでんきをつくる。,태양광을 이용해 전기를 만든다.
好意,こうい,호의·친절,JLPT_1 JLPT,f{|~G`MfSc,友人の好意に甘えて家に泊めてもらった。,ゆうじんのこういにあまえていえにとめてもらった。,친구의 호의로 그 집에서 하룻밤 묵었다.
行為,こうい,행위·행동,JLPT_1 JLPT,"x,?`vew_Y^",その行為は法律で固く禁じられている。,そのこういはほうりつでかたくきんじられている。,그 행위는 법률로 엄격히 금지되어 있다.
合意,ごうい,합의·동의,JLPT_1 JLPT,u5DPHkD^67,双方は新しい条件で合意に達した。,そうほうはあたらしいじょうけんでごういにたっした。,양측은 새로운 조건에 합의했다.
工学,こうがく,공학,JLPT_1 JLPT,nLBSX>%S~{,兄は大学で機械工学を学んでいる。,あにはだいがくできかいこうがくをまなんでいる。,형은 대학에서 기계 공학을 배우고 있다.
抗議,こうぎ,항의,JLPT_1 JLPT,N%yl^:99*x,住民は工事の騒音に抗議した。,じゅうみんはこうじのそうおんにこうぎした。,주민들은 공사 소음에 항의했다.
合議,ごうぎ,합의·회의,JLPT_1 JLPT,g]f7CW]TnO,委員全員の合議で方針を決めた。,いいんぜんいんのごうぎでほうしんをきめた。,위원 전원의 합의로 방침을 정했다.
皇居,こうきょ,고쿄 (황거),JLPT_1 JLPT,s3?rVk?BGD,皇居の周りを走る人が多い。,こうきょのまわりをはしるひとがおおい。,고쿄 주변을 달리는 사람이 많다.
好況,こうきょう,호황,JLPT_1 JLPT,w5c/V*0:/6,海外からの注文が増え、業界は好況だ。,かいがいからのちゅうもんがふえ、ぎょうかいはこうきょうだ。,해외 주문이 늘어 업계는 호황이다.
鉱業,こうぎょう,광업,JLPT_1 JLPT,w)+*p6qI~s,この地域ではかつて鉱業が盛んだった。,このちいきではかつてこうぎょうがさかんだった。,이 지역에서는 과거에 광업이 번성했다.
興業,こうぎょう,흥업·사업을 일으킴,JLPT_1 JLPT,qy~me*:#E{,国は殖産興業を重要な政策に掲げた。,くにはしょくさんこうぎょうをじゅうようなせいさくにかかげた。,국가는 식산흥업을 중요 정책으로 내걸었다.
高原,こうげん,고원,JLPT_1 JLPT,GF2Ak`BNv1,夏でも高原の朝は涼しい。,なつでもこうげんのあさはすずしい。,여름에도 고원의 아침은 서늘하다.
交互,こうご,상호의·교대로 하는,JLPT_1 JLPT,i<WWSGhMtl,二人は交互に車を運転した。,ふたりはこうごにくるまをうんてんした。,두 사람은 번갈아 차를 운전했다.
煌々と,こうこうと,휘황찬란하게·밝게,JLPT_1 JLPT,wYY;?*yl=I,街灯が夜道を煌々と照らしている。,がいとうがよみちをこうこうとてらしている。,가로등이 밤길을 환하게 비추고 있다.
考古学,こうこがく,고고학,JLPT_1 JLPT,CYD1fRQ8EC,遺跡を通して考古学の面白さを知った。,いせきをとおしてこうこがくのおもしろさをしった。,유적을 통해 고고학의 재미를 알게 되었다.
工作,こうさく,공작·수공예,JLPT_1 JLPT,wzz*)FRo9<,子どもたちは紙と木で工作を楽しんだ。,こどもたちはかみときでこうさくをたのしんだ。,아이들은 종이와 나무로 만들기를 즐겼다.
耕作,こうさく,경작·재배,JLPT_1 JLPT,hB|/|8Uy}2,農家はこの土地を何世代にもわたり耕作してきた。,のうかはこのとちをなんせだいにもわたりこうさくしてきた。,농가는 이 땅을 여러 세대에 걸쳐 경작해 왔다.
鉱山,こうざん,광산,JLPT_1 JLPT,"KT!enF:=,%",その鉱山では金が採掘されている。,そのこうざんではきんがさいくつされている。,그 광산에서는 금을 채굴하고 있다.
講習,こうしゅう,강습·훈련,JLPT_1 JLPT,g(z7%o&?^,新入社員向けの安全講習を受けた。,しんにゅうしゃいんむけのあんぜんこうしゅうをうけた。,신입 사원 대상 안전 교육을 받았다.
口述,こうじゅつ,구술·구두 진술,JLPT_1 JLPT,C~8oU(cK0?,事故の経緯を口述して記録に残した。,じこのけいいをこうじゅつしてきろくにのこした。,사고 경위를 구술해 기록으로 남겼다.
控除,こうじょ,공제·보조금,JLPT_1 JLPT,s2uW?Na1t%,確定申告で医療費控除を申請した。,かくていしんこくでいりょうひこうじょをしんせいした。,확정 신고에서 의료비 공제를 신청했다.
交渉,こうしょう,교섭·협상,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF,労働条件について会社側と交渉した。,ろうどうじょうけんについてかいしゃがわとこうしょうした。,근로 조건을 두고 회사 측과 협상했다.
高尚,こうしょう,고상한·품격 있는,JLPT_1 JLPT,Ndw<}.:V2o,彼の高尚な理想は多くの人を動かした。,かれのこうしょうなりそうはおおくのひとをうごかした。,그의 고상한 이상은 많은 사람의 마음을 움직였다.
向上,こうじょう,향상·발전,JLPT_1 JLPT,Qcz@t2UD0),毎日の練習で技術が向上した。,まいにちのれんしゅうでぎじゅつがこうじょうした。,매일 연습해서 기술이 향상되었다.
行進,こうしん,행진·퍼레이드,JLPT_1 JLPT,A=w}ZE@917,楽隊が音楽に合わせて行進した。,がくたいがおんがくにあわせてこうしんした。,악대가 음악에 맞춰 행진했다.
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,ce!{r.1}~3,この料理は香辛料の香りが強い。,このりょうりはこうしんりょうのかおりがつよい。,이 요리는 향신료 향이 강하다.
降水,こうすい,강수·강수량,JLPT_1 JLPT,"pb1#Y263n,",この地域は年間の降水量が少ない。,このちいきはねんかんのこうすいりょうがすくない。,이 지역은 연간 강수량이 적다.
洪水,こうずい,홍수,JLPT_1 JLPT,wakC-uKaq},大雨で川があふれ、洪水が起きた。,おおあめでかわがあふれ、こうずいがおきた。,폭우로 강이 넘쳐 홍수가 났다.
合成,ごうせい,합성의·혼합된,JLPT_1 JLPT,c^4E@A0[92,二つの画像を合成して一枚に仕上げた。,ふたつのがぞうをごうせいしていちまいにしあげた。,두 이미지를 합성해 한 장으로 완성했다.
公然,こうぜん,공공연하게·공개적으로,JLPT_1 JLPT,M(>QOkIhfA,彼は会議で公然と方針を批判した。,かれはかいぎでこうぜんとほうしんをひはんした。,그는 회의에서 공공연하게 방침을 비판했다.
抗争,こうそう,항쟁·분쟁,JLPT_1 JLPT,Ayw{S[ULVi,両国の抗争は長年にわたって続いた。,りょうこくのこうそうはながねんにわたってつづいた。,양국의 분쟁은 오랫동안 계속되었다.
構想,こうそう,구상·계획,JLPT_1 JLPT,HJ3]TaFI5x,新しい図書館の構想を市民に示した。,あたらしいとしょかんのこうそうをしみんにしめした。,새 도서관의 구상을 시민들에게 제시했다.
後退,こうたい,후퇴·퇴각,JLPT_1 JLPT,Hg(g(Ch73j,部隊は安全な場所まで後退した。,ぶたいはあんぜんなばしょまでこうたいした。,부대는 안전한 곳까지 후퇴했다.
光沢,こうたく,광택·윤기,JLPT_1 JLPT,sz+BIfx<J$,磨いた床に美しい光沢が出た。,みがいたゆかにうつくしいこうたくがでた。,닦은 바닥에 아름다운 광택이 났다.
公団,こうだん,공단·공공 단체,JLPT_1 JLPT,C&5}~^z)ts,公団が古い住宅を建て替えた。,こうだんがふるいじゅうたくをたてかえた。,공단이 오래된 주택을 새로 지었다.
好調,こうちょう,호조·순조로움,JLPT_1 JLPT,fn+k2uN^.*,新商品の売れ行きは好調だ。,しんしょうひんのうれゆきはこうちょうだ。,신상품의 판매는 호조를 보이고 있다.
口頭,こうとう,구두의·말로 하는,JLPT_1 JLPT,mWZ1nL&l+A,詳しい結果は口頭で報告します。,くわしいけっかはこうとうでほうこくします。,자세한 결과는 구두로 보고하겠습니다.
講読,こうどく,강독·읽기,JLPT_1 JLPT,"cbt]L<,==)",授業で古典文学を講読している。,じゅぎょうでこてんぶんがくをこうどくしている。,수업에서 고전 문학을 강독하고 있다.
購読,こうどく,구독,JLPT_1 JLPT,BPBnR~`=Cm,毎朝届く新聞を十年間購読している。,まいあさとどくしんぶんをじゅうねんかんこうどくしている。,매일 아침 배달되는 신문을 십 년째 구독하고 있다.
購入,こうにゅう,구입·구매,JLPT_1 JLPT,mN.]${Ep@o,必要な教材をオンラインで購入した。,ひつようなきょうざいをおんらいんでこうにゅうした。,필요한 교재를 온라인으로 구매했다.
公認,こうにん,공인·공식 승인,JLPT_1 JLPT,f=;(Z+KSn*,この記録は協会に公認されている。,このきろくはきょうかいにこうにんされている。,이 기록은 협회의 공인을 받았다.
光熱費,こうねつひ,광열비,JLPT_1 JLPT,CBInEbAiwn,冬は暖房で光熱費が高くなる。,ふゆはだんぼうでこうねつひがたかくなる。,겨울에는 난방으로 광열비가 많이 든다.
購買,こうばい,구매·구입,JLPT_1 JLPT,m|%voYE^yW,消費者の購買意欲が徐々に戻ってきた。,しょうひしゃのこうばいいよくがじょじょにもどってきた。,소비자의 구매 의욕이 서서히 회복되었다.
好評,こうひょう,호평,JLPT_1 JLPT,PN?X>r5#3$,新しい展示は来場者から好評を得た。,あたらしいてんじはらいじょうしゃからこうひょうをえた。,새 전시는 관람객들에게 호평을 받았다.
交付,こうふ,교부·발급,JLPT_1 JLPT,iWHq@iV7/S,窓口で新しい証明書が交付された。,まどぐちであたらしいしょうめいしょがこうふされた。,창구에서 새 증명서가 발급되었다.
公募,こうぼ,공모,JLPT_1 JLPT,zuO/%#|pw9,市は公募で施設の名称を決める。,しはこうぼでしせつのめいしょうをきめる。,시는 공모를 통해 시설 이름을 정한다.
巧妙,こうみょう,교묘한·영리한,JLPT_1 JLPT,K0cz7g4lOn,犯人は巧妙な手口で証拠を隠した。,はんにんはこうみょうなてぐちでしょうこをかくした。,범인은 교묘한 수법으로 증거를 숨겼다.
公用,こうよう,공용,JLPT_1 JLPT,E{n/tl9=Ih,この車は公用のため個人では使えない。,このくるまはこうようのためこじんではつかえない。,이 차는 공용이라 개인적으로 쓸 수 없다.
小売,こうり,소매,JLPT_1 JLPT,c_Z6-bZ>!E,この店は衣料品を小売している。,このみせはいりょうひんをこうりしている。,이 가게는 의류를 소매로 판매한다.
效率,こうりつ,효율,JLPT_1 JLPT,zkc6-]4~)6,作業の效率を高める方法を考えた。,さぎょうのこうりつをたかめるほうほうをかんがえた。,작업 효율을 높일 방법을 생각했다.
公立,こうりつ,공립,JLPT_1 JLPT,FUSldz(S$f,市内の公立高校に通っている。,しないのこうりつこうこうにかよっている。,시내의 공립 고등학교에 다니고 있다.
護衛,ごえい,호위·호송,JLPT_1 JLPT,Bs7a.5p1{r,要人を護衛するため警備員が同行した。,ようじんをごえいするためけいびいんがどうこうした。,요인을 호위하기 위해 경비원이 동행했다.
コーナー,コーナー,코너·모퉁이,JLPT_1 JLPT,n/T(.dj~.j,店の奥に子ども向けのコーナーがある。,みせのおくにこどもむけのこーなーがある。,가게 안쪽에 어린이용 코너가 있다.
小柄,こがら,작은 체구·작은 무늬,JLPT_1 JLPT,p|m2.?zBm2,彼女は小柄だが体力がある。,かのじょはこがらだがたいりょくがある。,그녀는 체구가 작지만 체력이 좋다.
小切手,こぎって,수표,JLPT_1 JLPT,vh>Pgi:y!n,支払いのため銀行で小切手を切った。,しはらいのためぎんこうでこぎってをきった。,대금을 치르려고 은행에서 수표를 발행했다.
国産,こくさん,국산,JLPT_1 JLPT,NVGuI`wyWr,この店では国産の野菜だけを使う。,このみせではこくさんのやさいだけをつかう。,이 가게에서는 국산 채소만 사용한다.
国定,こくてい,국정·국가 지정,JLPT_1 JLPT,K:.NA{MA#,この公園は国定公園に指定されている。,このこうえんはこくていこうえんにしていされている。,이 공원은 국정 공원으로 지정되어 있다.
告白,こくはく,고백,JLPT_1 JLPT,D/-Yon@zj7,長年隠していた秘密を友人に告白した。,ながねんかくしていたひみつをゆうじんにこくはくした。,오랫동안 숨겨 온 비밀을 친구에게 고백했다.
国防,こくぼう,국방,JLPT_1 JLPT,gB_-ioo>5E,国防の方針について議会で議論した。,こくぼうのほうしんについてぎかいでぎろんした。,국방 방침을 두고 의회에서 논의했다.
国有,こくゆう,국유,JLPT_1 JLPT,qhprC(Et1a,その森林は国有財産として管理されている。,そのしんりんはこくゆうざいさんとしてかんりされている。,그 산림은 국유 재산으로 관리되고 있다.
極楽,ごくらく,극락·낙원,JLPT_1 JLPT,MY-u/w:|X`,温泉に入ると極楽にいるような気分だ。,おんせんにはいるとごくらくにいるようなきぶんだ。,온천에 들어가면 극락에 있는 기분이다.
国連,こくれん,유엔·국제 연합,JLPT_1 JLPT,PWdSCAXCS{,国連は緊急支援の開始を発表した。,こくれんはきんきゅうしえんのかいしをはっぴょうした。,유엔은 긴급 지원 개시를 발표했다.
焦げ茶,こげちゃ,짙은 갈색·고동색,JLPT_1 JLPT,z#D(l+D|+d,焦げ茶の革靴はどんな服にも合わせやすい。,こげちゃのかわぐつはどんなふくにもあわせやすい。,고동색 가죽 구두는 어떤 옷에도 잘 어울린다.
語源,ごげん,어원,JLPT_1 JLPT,"wW7;mB,H-n",この言葉の語源を辞書で調べた。,このことばのごげんをじしょでしらべた。,이 단어의 어원을 사전에서 찾아봤다.
心地,ここち,기분·마음씨,JLPT_1 JLPT,HRZ-ZZ((63,窓から入る風が心地よい。,まどからはいるかぜがここちよい。,창으로 들어오는 바람이 기분 좋다.
心得,こころえ,소양·지식,JLPT_1 JLPT,r]B:&#9/Oj,接客の心得を新人に教えた。,せっきゃくのこころえをしんじんにおしえた。,손님을 응대하는 소양을 신입에게 가르쳤다.
心掛け,こころがけ,마음가짐·각오,JLPT_1 JLPT,v|gKw*kSA<,毎日の心掛けが健康を支える。,まいにちのこころがけがけんこうをささえる。,매일의 마음가짐이 건강을 지탱한다.
心掛ける,こころがける,유심하다·마음먹다,JLPT_1 JLPT,xF|-#cu_O[,相手の立場で考えるよう心掛けている。,あいてのたちばでかんがえるようこころがけている。,상대의 입장에서 생각하려고 늘 유념하고 있다.
志,こころざし,뜻·뜻함,JLPT_1 JLPT,J^EH*N|S>D,医師として人を救う志を忘れない。,いしとしてひとをすくうこころざしをわすれない。,의사로서 사람을 구하겠다는 뜻을 잊지 않는다.
志す,こころざす,뜻을 두다·목표로 하다,JLPT_1 JLPT,zc/071N?*?,幼い頃から研究者を志してきた。,おさないころからけんきゅうしゃをこころざしてきた。,어릴 때부터 연구자를 목표로 해 왔다.
心強い,こころづよい,든든한·마음 든든한,JLPT_1 JLPT,K>pZg]2z_[,経験豊かな先輩が一緒なら心強い。,けいけんゆたかなせんぱいがいっしょならこころづよい。,경험 많은 선배가 함께라면 든든하다.
心細い,こころぼそい,불안한·낙담한,JLPT_1 JLPT,ve[sU52iIO,初めての土地での一人暮らしは心細い。,はじめてのとちでのひとりぐらしはこころぼそい。,낯선 곳에서 혼자 사는 것은 불안하다.
試み,こころみ,시도·시련,JLPT_1 JLPT,LnQ-7#~J-i,新制度は国内初の試みとして注目された。,しんせいどはこくないはつのこころみとしてちゅうもくされた。,새 제도는 국내 최초의 시도로 주목받았다.
試みる,こころみる,시도하다·시험해 보다,JLPT_1 JLPT,qG!ugw]O{9,難しい課題にも新しい方法を試みた。,むずかしいかだいにもあたらしいほうほうをこころみた。,어려운 과제에도 새로운 방법을 시도했다.
快い,こころよい,기분 좋은·쾌적한,JLPT_1 JLPT,eXTY5f2Ubn,彼は私の頼みに快い返事をくれた。,かれはわたしのたのみにこころよいへんじをくれた。,그는 내 부탁에 흔쾌히 승낙하는 답을 주었다.
誤差,ごさ,오차,JLPT_1 JLPT,bE*}iimu/k,二つの測定値には小さな誤差がある。,ふたつのそくていちにはちいさなごさがある。,두 측정값에는 작은 오차가 있다.
ございます (かん),ございます (かん),있습니다·계십니다,JLPT_1 JLPT,g2<)LlaRj=,会議室は三階にございます。,かいぎしつはさんがいにございます。,회의실은 3층에 있습니다.
孤児,こじ,고아,JLPT_1 JLPT,Nru>c@<pc2,戦争で親を失った孤児を施設が保護した。,せんそうでおやをうしなったこじをしせつがほごした。,전쟁으로 부모를 잃은 고아를 시설에서 보호했다.
こじれる,こじれる,꼬이다·악화되다,JLPT_1 JLPT,jQE(/ITykr,話し合いがこじれて解決が遠のいた。,はなしあいがこじれてかいけつがとおのいた。,협상이 꼬여 해결이 멀어졌다.
漉す·濾す (みずを～),こす (みずを～),거르다·여과하다,JLPT_1 JLPT,P2WNAwMh[2,布で水を濾して不純物を取り除く。,ぬのでみずをこしてふじゅんぶつをとりのぞく。,천으로 물을 걸러 불순물을 제거한다.
梢,こずえ,나무 꼭대기,JLPT_1 JLPT,"P{..MI,|Mb",梢に止まった小鳥が朝から鳴いている。,こずえにとまったことりがあさからないている。,나뭇가지 끝에 앉은 작은 새가 아침부터 울고 있다.
個性,こせい,개성,JLPT_1 JLPT,EsL6l#sj?m,互いの個性を尊重することが大切だ。,たがいのこせいをそんちょうすることがたいせつだ。,서로의 개성을 존중하는 것이 중요하다.
戸籍,こせき,호적,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8,役所で戸籍謄本を取得した。,やくしょでこせきとうほんをしゅとくした。,관공서에서 호적 등본을 발급받았다.
古代,こだい,고대,JLPT_1 JLPT,s_N1oO.lmA,古代の遺跡から土器が発見された。,こだいのいせきからどきがはっけんされた。,고대 유적에서 토기가 발견되었다.
こたつ,こたつ,코타츠,JLPT_1 JLPT,O}EMl{I]K-,寒い日はこたつに入って本を読む。,さむいひはこたつにはいってほんをよむ。,추운 날에는 코타츠에 들어가 책을 읽는다.
こだわる,こだわる,구애되다·고집하다,JLPT_1 JLPT,Dw-&[Gy8N`,細かい形式にこだわる必要はない。,こまかいけいしきにこだわるひつようはない。,세세한 형식에 얽매일 필요는 없다.
誇張,こちょう,과장,JLPT_1 JLPT,c]NsRC|}O%,彼の話には少し誇張が含まれている。,かれのはなしにはすこしこちょうがふくまれている。,그의 이야기에는 약간의 과장이 섞여 있다.
こつ (をつかむ),こつ (をつかむ),요령·비결,JLPT_1 JLPT,qPHur}V8b$,練習を重ねて道具を使うこつをつかんだ。,れんしゅうをかさねてどうぐをつかうこつをつかんだ。,연습을 거듭해 도구를 쓰는 요령을 익혔다.
滑稽,こっけい,익살스러운·우스꽝스러운,JLPT_1 JLPT,v>_m`mFbvz,真剣な場面で転んだ姿はどこか滑稽だった。,しんけんなばめんでころんだすがたはどこかこっけいだった。,진지한 장면에서 넘어진 모습은 어딘가 우스꽝스러웠다.
国交,こっこう,국교,JLPT_1 JLPT,d-(zI.D]7},両国は十年ぶりに国交を回復した。,りょうこくはじゅうねんぶりにこっこうをかいふくした。,양국은 10년 만에 국교를 회복했다.
骨董品,こっとうひん,골동품,JLPT_1 JLPT,Dr0mqScf_b,祖父は各地で骨董品を集めていた。,そふはかくちでこっとうひんをあつめていた。,할아버지는 여러 지역에서 골동품을 모았다.
固定,こてい,고정,JLPT_1 JLPT,g$6E|N|S:$,棚を壁に固定して転倒を防いだ。,たなをかべにこていしててんとうをふせいだ。,선반을 벽에 고정해 넘어지는 것을 막았다.
事柄,ことがら,사항·일,JLPT_1 JLPT,F=ad!I0A}O,事件に関係する事柄を順に説明した。,じけんにかんけいすることがらをじゅんにせつめいした。,사건과 관련된 사항을 차례로 설명했다.
孤独,こどく,고독,JLPT_1 JLPT,"cT&=x,mI2c",都会の人混みの中で孤独を感じた。,とかいのひとごみのなかでこどくをかんじた。,도시의 인파 속에서 고독을 느꼈다.
ことごとく,ことごとく,모조리·전부,JLPT_1 JLPT,dR[Sxf+^Ps,倉庫の品は火事でことごとく焼けた。,そうこのしなはかじでことごとくやけた。,창고의 물건은 화재로 모조리 불탔다.
言付け,ことづけ,전갈·말을 전함,JLPT_1 JLPT,kU+Y{Q}2@W,母への言付けを妹に頼んだ。,ははへのことづけをいもうとにたのんだ。,어머니께 전할 말을 여동생에게 부탁했다.
殊に,ことに,특히·각별히,JLPT_1 JLPT,en/8|n9S0h,今年の冬は殊に寒さが厳しい。,ことしのふゆはことにさむさがきびしい。,올겨울은 특히 추위가 심하다.
粉々,こなごな,산산조각·가루가 된,JLPT_1 JLPT,Kmg$=%neFc,花瓶が床に落ちて粉々に割れた。,かびんがゆかにおちてこなごなにわれた。,꽃병이 바닥에 떨어져 산산조각 났다.
好ましい,このましい,바람직한·호감이 가는,JLPT_1 JLPT,x#LKH<P4pQ,全員が意見を出せる環境が好ましい。,ぜんいんがいけんをだせるかんきょうがこのましい。,모두가 의견을 낼 수 있는 환경이 바람직하다.
碁盤,ごばん,바둑판,JLPT_1 JLPT,zlA@Kkn)Y,碁盤の上に黒と白の石を並べた。,ごばんのうえにくろとしろのいしをならべた。,바둑판 위에 검은 돌과 흰 돌을 놓았다.
個別,こべつ,개별,JLPT_1 JLPT,IS>`l#g_rF,問題が異なるため個別に対応します。,もんだいがことなるためこべつにたいおうします。,문제가 서로 달라 개별적으로 대응합니다.
ごまかす,ごまかす,속이다·얼버무리다,JLPT_1 JLPT,p$tB:Q(vZY,彼は都合の悪い質問を笑ってごまかした。,かれはつごうのわるいしつもんをわらってごまかした。,그는 곤란한 질문을 웃음으로 얼버무렸다.
細やか,こまやか,세밀한·정교한,JLPT_1 JLPT,w6sGv9Z]7>,店員の細やかな気配りに感心した。,てんいんのこまやかなきくばりにかんしんした。,점원의 세심한 배려에 감탄했다.
コマーシャル,コマーシャル,광고·커머셜,JLPT_1 JLPT,pmxm=&|P?L,新商品のコマーシャルがテレビで流れた。,しんしょうひんのこまーしゃるがてれびでながれた。,신상품 광고가 텔레비전에서 나왔다.
込める,こめる,담다·넣다,JLPT_1 JLPT,FCbb2pT+SZ,手紙に感謝の気持ちを込めた。,てがみにかんしゃのきもちをこめた。,편지에 감사의 마음을 담았다.
コメント,コメント,코멘트·의견,JLPT_1 JLPT,cplDpvT[1o,記事を読んで率直なコメントを寄せた。,きじをよんでそっちょくなこめんとをよせた。,기사를 읽고 솔직한 의견을 남겼다.
籠もる,こもる,박히다·가득 차다,JLPT_1 JLPT,KBSxgcpn$F,雨の日は部屋に籠もって本を読む。,あめのひはへやにこもってほんをよむ。,비 오는 날에는 방에 틀어박혀 책을 읽는다.
固有,こゆう,고유,JLPT_1 JLPT,yXV:}D_ozd,この植物は島固有の種類だ。,このしょくぶつはしまこゆうのしゅるいだ。,이 식물은 섬 고유의 종이다.
暦,こよみ,달력·역법,JLPT_1 JLPT,jx:{}3HoK:,暦の上では今日から春になる。,こよみのうえではきょうからはるになる。,달력상으로는 오늘부터 봄이다.
凝らす,こらす,집중시키다·응시하다,JLPT_1 JLPT,oJEMYEm^we,目を凝らすと遠くに船が見えた。,めをこらすととおくにふねがみえた。,눈여겨보니 멀리 배가 보였다.
ごらんなさい (かん),ごらんなさい (かん),보세요,JLPT_1 JLPT,N1BBvCZ=AZ,この写真をごらんなさい。,このしゃしんをごらんなさい。,이 사진을 보세요.
孤立,こりつ,고립,JLPT_1 JLPT,xYDSYkNe4i,周囲から孤立しないよう対話を続けた。,しゅういからこりつしないようたいわをつづけた。,주위에서 고립되지 않도록 대화를 이어 갔다.
懲りる,こりる,데이다·혼나다,JLPT_1 JLPT,vbJg<?=y%j,一度の失敗ですっかり懲りた。,いちどのしっぱいですっかりこりた。,한 번 실패하고 완전히 질렸다.
凝る,こる,엉기다·열중하다,JLPT_1 JLPT,p)T=z%i7F[,彼は最近料理に凝っている。,かれはさいきんりょうりにこっている。,그는 요즘 요리에 푹 빠져 있다.
