expression,reading,meaning,tags,guid
梢,こずえ,나무 꼭대기,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,개성,JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,호적,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,고대,JLPT_1 JLPT,s_N1oO.lmA
こたつ,こたつ,코타츠,JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,구애되다·고집하다,JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,과장,JLPT_1 JLPT,c]NsRC|}O%
こつ,こつ,요령·비결,JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,익살스러운·우스꽝스러운,JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,국교,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,골동품,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,고정,JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,사항·일,JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,고독,JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,모조리·전부,JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,전갈·말을 전함,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,특히·각별히,JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,산산조각·가루가 된,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,바람직한·호감이 가는,JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,바둑판,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,개별,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,속이다·얼버무리다,JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,세밀한·정교한,JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,광고·커머셜,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,담다·넣다,JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,코멘트·의견,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,박히다·가득 차다,JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,고유,JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,달력·역법,JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,집중시키다·응시하다,JLPT_1 JLPT,oJEMYEm^we
ごらんなさい,ごらんなさい,보세요,JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,고립,JLPT_1 JLPT,xYDSYkNe4i
懲리る,こりる,데이다·혼나다,JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,엉기다·열중하다,JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,끈기,JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,근거,JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,혼혈,JLPT_1 JLPT,saDmLPZfe~
コンタクトレンズ,コンタクトレンズ,콘택트 렌즈,JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,곤충,JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,근저·뿌리,JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,혼동,JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,대비·대조,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,컨트롤·조절,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,컴퍼스·나침반,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,근본·뿌리,JLPT_1 JLPT,I>Va~AQW*%
