expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
和らぐ,やわらぐ,누그러지다,JLPT_1 JLPT,ZS_}EHu32x,薬を飲むと痛みが和らいだ。,くすりをのむといたみがやわらいだ。,약을 먹자 통증이 누그러졌다.
由緒,ゆいしょ,유서,JLPT_1 JLPT,~I(AAae<T9,ここは由緒ある神社だ。,ここはゆいしょあるじんじゃだ。,이곳은 유서 깊은 신사다.
勇敢に,ゆうかんに,용감하게,JLPT_1 JLPT,[0I/wr|)K8,彼女は勇敢に敵へ立ち向かった。,かのじょはゆうかんにてきへたちむかった。,그녀는 용감하게 적에게 맞섰다.
融通,ゆうずう,① (돈의) 융통 ② 융통성,JLPT_1 JLPT,P-+[jX2vfh,彼は融通が利かない。,かれはゆうずうがきかない。,그는 융통성이 없다.
有望,ゆうぼう,유망함,JLPT_1 JLPT,tcRA[smO57,あの選手は将来有望だ。,あのせんしゅはしょうらいゆうぼうだ。,저 선수는 장래가 유망하다.
夕闇,ゆうやみ,"땅거미, 황혼",JLPT_1 JLPT,2Pq2}EFVW),夕闇が静かな町を包んだ。,ゆうやみがしずかなまちをつつんだ。,땅거미가 고요한 마을을 감쌌다.
幽霊,ゆうれい,유령,JLPT_1 JLPT,Y7nhX:H`z|,廃屋で幽霊を見たという。,はいおくでゆうれいをみたという。,폐가에서 유령을 봤다고 한다.
容易,ようい,용이함,JLPT_1 JLPT,KR]c2-E{4),この問題は容易に解ける。,このもんだいはよういにとける。,이 문제는 쉽게 풀 수 있다.
様相,ようそう,양상,JLPT_1 JLPT,u02_2`M{)x,争いは長期化の様相を呈した。,あらそいはちょうきかのようそうをていした。,분쟁은 장기화 양상을 띠었다.
余暇,よか,여가,JLPT_1 JLPT,)up(q@LG=I,余暇には陶芸を楽しんでいる。,よかにはとうげいをたのしんでいる。,여가에는 도예를 즐긴다.
装う,よそおう,① 치장하다 ② 가장하다,JLPT_1 JLPT,X`.pJ.vQ|8,平静を装って席に戻った。,へいせいをよそおってせきにもどった。,태연한 척하며 자리로 돌아왔다.
寮,りょう,기숙사,JLPT_1 JLPT,tv)AWqU0r0,大学の寮で二年間暮らした。,だいがくのりょうでにねんかんくらした。,대학 기숙사에서 2년간 살았다.
了解,りょうかい,"승낙, 납득, 양해",JLPT_1 JLPT,cssSyE$11*,事情は了解しました。,じじょうはりょうかいしました。,사정은 이해했습니다.
履歴,りれき,이력,JLPT_1 JLPT,!&ZQ&1DQWJ,応募者の履歴を確認する。,おうぼしゃのりれきをかくにんする。,지원자의 이력을 확인한다.
倫理的,りんりてき,윤리적,JLPT_1 JLPT,~k^G]aVTt$,倫理的な問題が残っている。,りんりてきなもんだいがのこっている。,윤리적인 문제가 남아 있다.
類似,るいじ,"유사, 비슷함",JLPT_1 JLPT,KBB39G32#/,二つの作品には類似点が多い。,ふたつのさくひんにはるいじてんがおおい。,두 작품에는 유사점이 많다.
連日,れんじつ,"연일, 매일",JLPT_1 JLPT,RG}m[>8=K!,連日の雨で川が増水した。,れんじつのあめでかわがぞうすいした。,연일 내린 비로 강물이 불어났다.
廊下,ろうか,복도,JLPT_1 JLPT,yK.e<g*v4f,廊下を走ってはいけない。,ろうかをはしってはいけない。,복도에서 뛰면 안 된다.
老衰,ろうすい,노쇠,JLPT_1 JLPT,yW0Xo?Ixn:,祖父は老衰で静かに亡くなった。,そふはろうすいでしずかになくなった。,할아버지는 노쇠로 조용히 돌아가셨다.
枠,わく,"틀, 테두리",JLPT_1 JLPT,*Alttcd>ej,写真を木の枠に入れた。,しゃしんをきのわくにいれた。,사진을 나무 액자에 넣었다.
枠内,わくない,테두리 안,JLPT_1 JLPT,$hUUigP&$P,費用は予算の枠内に収まった。,ひようはよさんのわくないにおさまった。,비용은 예산 범위 안에 들었다.
技,わざ,기술,JLPT_1 JLPT,$MxE|:!O^=,職人の技が光る作品だ。,しょくにんのわざがひかるさくひんだ。,장인의 솜씨가 빛나는 작품이다.
愛想,あいそ,붙임성,JLPT_1 JLPT,0aCRM.[A(7,店員は愛想よく客を迎えた。,てんいんはあいそよくきゃくをむかえた。,점원은 상냥하게 손님을 맞았다.
愛着,あいちゃく,애착,JLPT_1 JLPT,f:dMqy2O{&,古い机に強い愛着がある。,ふるいつくえにつよいあいちゃくがある。,낡은 책상에 강한 애착이 있다.
あえて,あえて,"감히, 굳이",JLPT_1 JLPT,nK$mtf}&Ka,あえて難しい道を選んだ。,あえてむずかしいみちをえらんだ。,굳이 어려운 길을 택했다.
あかす,あかす,"밝히다, 털어놓다",JLPT_1 JLPT,y`2=0~P*ST,彼は胸の内を友にあかした。,かれはむねのうちをともにあかした。,그는 속마음을 친구에게 털어놓았다.
あくどい,あくどい,"악랄하다, 악착같다",JLPT_1 JLPT,xyfUf9oID0,あくどい商売で利益を得た。,あくどいしょうばいでりえきをえた。,악랄한 장사로 이익을 얻었다.
足手まとい,あしでまとい,"거치적거림, 짐",JLPT_1 JLPT,%hfs@_%c2D,けが人の私が皆の足手まといになった。,けがにんのわたしがみんなのあしでまといになった。,다친 내가 모두에게 짐이 되었다.
足止めされる,あしどめされる,발이 묶이다,JLPT_1 JLPT,R.?t8@(^J^,大雪で空港に足止めされた。,おおゆきでくうこうにあしどめされた。,폭설로 공항에 발이 묶였다.
頭打ち,あたまうち,한계점에 이름,JLPT_1 JLPT,wH|C-4]Y?J,売り上げの伸びが頭打ちになった。,うりあげののびがあたまうちになった。,매출 증가세가 한계에 이르렀다.
あっけない,あっけない,"어이없다, 싱겁다",JLPT_1 JLPT,l.bK*.Qg2m,試合はあっけなく終わった。,しあいはあっけなくおわった。,경기는 싱겁게 끝났다.
あっさり,あっさり,"간단히, 깨끗이",JLPT_1 JLPT,<vjh7VuXuf,彼は頼みをあっさり断った。,かれはたのみをあっさりことわった。,그는 부탁을 단번에 거절했다.
圧倒,あっとう,압도,JLPT_1 JLPT,}40K6*x[/t,歌声で観客を圧倒した。,うたごえでかんきゃくをあっとうした。,노랫소리로 관객을 압도했다.
圧迫,あっぱく,압박,JLPT_1 JLPT,"D0V/dbD,{X",借金が家計を圧迫している。,しゃっきんがかけいをあっぱくしている。,빚이 가계를 압박하고 있다.
危ぶまれる,あやぶまれる,의심스럽다,JLPT_1 JLPT,Y.??Bbz+Xu,雨で開催が危ぶまれている。,あめでかいさいがあやぶまれている。,비 때문에 개최가 불투명하다.
あやふや,あやふや,"불확실함, 모호함",JLPT_1 JLPT,&KFDuf@7:u,返事をあやふやにした。,へんじをあやふやにした。,대답을 모호하게 했다.
誤る,あやまる,"실수하다, 잘못하다",JLPT_1 JLPT,YaJ<<;Pwz],操作を誤ると事故につながる。,そうさをあやまるとじこにつながる。,조작을 잘못하면 사고로 이어진다.
あらかじめ,あらかじめ,"미리, 사전에",JLPT_1 JLPT,"z23l,JR7,{",材料はあらかじめ切っておく。,ざいりょうはあらかじめきっておく。,재료는 미리 잘라 둔다.
改める,あらためる,고치다,JLPT_1 JLPT,D-*Vs_XnD2,悪い習慣を改める決心をした。,わるいしゅうかんをあらためるけっしんをした。,나쁜 습관을 고치기로 결심했다.
ありのままに,ありのままに,사실대로,JLPT_1 JLPT,{TIlM?4<xX,見たことをありのままに話した。,みたことをありのままにはなした。,본 것을 사실대로 말했다.
安静,あんせい,안정,JLPT_1 JLPT,5n|bj_/&@a,医者に一週間の安静を命じられた。,いしゃにいっしゅうかんのあんせいをめいじられた。,의사에게 일주일간 안정을 지시받았다.
言い張る,いいはる,우기다,JLPT_1 JLPT,{k3Jh;@^c-,彼は自分が正しいと言い張った。,かれはじぶんがただしいといいはった。,그는 자신이 옳다고 우겼다.
生かす,いかす,살리다,JLPT_1 JLPT,R=Y@`.n:cK,留学経験を仕事に生かす。,りゅうがくけいけんをしごとにいかす。,유학 경험을 일에 살린다.
いかにも,いかにも,"정말, 매우",JLPT_1 JLPT,"q2]i;,i23C",いかにも彼らしい発言だ。,いかにもかれらしいはつげんだ。,정말 그다운 발언이다.
異色,いしょく,"이색적임, 색다름",JLPT_1 JLPT,1w%Zxv]%F-,若手中心の異色の内閣だ。,わかてちゅうしんのいしょくのないかくだ。,젊은 층 중심의 이색적인 내각이다.
いじる,いじる,만지작거리다,JLPT_1 JLPT,"X),Jl`*3za",濡れた手で機械をいじるな。,ぬれたてできかいをいじるな。,젖은 손으로 기계를 만지지 마라.
一任,いちにん,일임,JLPT_1 JLPT,<s^lzlVi!*,交渉は代理人に一任した。,こうしょうはだいりにんにいちにんした。,협상은 대리인에게 일임했다.
一面,いちめん,① 일면 ② 온통,JLPT_1 JLPT,Pzg+Pve[[Z,野原一面に花が咲いた。,のはらいちめんにはながさいた。,들판 온통에 꽃이 피었다.
一連,いちれん,① 일련 ② 일행,JLPT_1 JLPT,XOo:x4vk{D,一連の事件を詳しく調べる。,いちれんのじけんをくわしくしらべる。,일련의 사건을 자세히 조사한다.
一環,いっかん,일환,JLPT_1 JLPT,]k{ygyfFgl,制度の見直しを改革の一環として行う。,せいどのみなおしをかいかくのいっかんとしておこなう。,제도 재검토를 개혁의 일환으로 실시한다.
一挙に,いっきょに,"일거에, 단숨에",JLPT_1 JLPT,HVa|0<e!YY,問題を一挙に解決した。,もんだいをいっきょにかいけつした。,문제를 단숨에 해결했다.
逸材,いつざい,우수한 인재,JLPT_1 JLPT,t5%7~YBo.a,彼は十年に一人の逸材だ。,かれはじゅうねんにひとりのいつざいだ。,그는 십 년에 한 번 나올 인재다.
いっそ,いっそ,차라리,JLPT_1 JLPT,(m/SIp+b~S,待つより、いっそ歩こう。,まつより、いっそあるこう。,기다리느니 차라리 걷자.
一掃する,いっそうする,일소하다,JLPT_1 JLPT,AZflOac_Je,古い制度を一掃する。,ふるいせいどをいっそうする。,낡은 제도를 일소한다.
逸脱する,いつだつする,벗어나다,JLPT_1 JLPT,&.1_LiJ{Ud,議論が本題から逸脱した。,ぎろんがほんだいからいつだつした。,논의가 본론에서 벗어났다.
意図,いと,의도,JLPT_1 JLPT,"c5e,T7TQ2s",質問の意図をくみ取った。,しつもんのいとをくみとった。,질문의 의도를 헤아렸다.
いとも,いとも,"매우, 아주",JLPT_1 JLPT,98Z*@Xmv9!,彼はいとも簡単に壁を越えた。,かれはいともかんたんにかべをこえた。,그는 아주 쉽게 벽을 넘었다.
いやらしい,いやらしい,불쾌하다,JLPT_1 JLPT,)oXNGTu+Hx,いやらしい目で人を見るな。,いやらしいめでひとをみるな。,음흉한 눈빛으로 사람을 보지 마라.
意欲,いよく,의욕,JLPT_1 JLPT,"OO,h2-F}K(",学ぶ意欲に満ちている。,まなぶいよくにみちている。,배우려는 의욕이 넘친다.
ウイルス,ウイルス,바이러스,JLPT_1 JLPT,W@kN:8.&P;,未知のウイルスが広がった。,みちのういるすがひろがった。,미지의 바이러스가 퍼졌다.
ウェイト,ウェイト,"무게, 중점(=ウエート)",JLPT_1 JLPT,[!wVwcO(gy,品質にウェイトを置く。,ひんしつにうぇいとをおく。,품질에 중점을 둔다.
受け入れる,うけいれる,받아들이다,JLPT_1 JLPT,Bwt`5t&b<k,異なる意見も受け入れる。,ことなるいけんもうけいれる。,다른 의견도 받아들인다.
受ける,うける,받다,JLPT_1 JLPT,3eGo%$}xXp,明日、面接を受ける。,あした、めんせつをうける。,내일 면접을 본다.
うすうす,うすうす,"어렴풋이, 짐작으로",JLPT_1 JLPT,>4pq8s5q>#,失敗しそうだとうすうす感じていた。,しっぱいしそうだとうすうすかんじていた。,실패할 것 같다고 어렴풋이 느끼고 있었다.
うずうずしている,うずうずしている,몸이 쑤시다,JLPT_1 JLPT,(*qs;_jiY#,早く走りたくてうずうずしている。,はやくはしりたくてうずうずしている。,빨리 달리고 싶어 몸이 근질거린다.
うっかり,うっかり,깜빡,JLPT_1 JLPT,"369AJ,Z6j@",うっかり鍵を家に忘れた。,うっかりかぎをいえにわすれた。,깜빡 열쇠를 집에 두고 왔다.
うっとうしい,うっとうしい,① (기분·날씨) 울적하고 답답하다 ② 귀찮다,JLPT_1 JLPT,UfHyP7LV[:,雨続きで気分がうっとうしい。,あめつづきできぶんがうっとうしい。,비가 계속돼 기분이 답답하다.
腕前,うでまえ,"솜씨, 역량",JLPT_1 JLPT,<S)n`:8MjC,料理の腕前を披露した。,りょうりのうでまえをひろうした。,요리 솜씨를 선보였다.
うなぎのぼり,うなぎのぼり,빠르게 올라감,JLPT_1 JLPT,$f=YDJy[8M,原材料の高騰で物価はうなぎのぼりだ。,げんざいりょうのこうとうでぶっかはうなぎのぼりだ。,원자재 가격 급등으로 물가가 가파르게 오르고 있다.
うぬぼれる,うぬぼれる,자만하다,JLPT_1 JLPT,:J}lM=-Wd!,少し褒められてうぬぼれた。,すこしほめられてうぬぼれた。,조금 칭찬받았다고 자만했다.
運用,うんよう,운용,JLPT_1 JLPT,I;MIHB)sH6,基金を適切に運用する。,ききんをてきせつにうんようする。,기금을 적절히 운용한다.
閲覧室,えつらんしつ,열람실,JLPT_1 JLPT,KQ.]a3uS%b,閲覧室では静かにしてください。,えつらんしつではしずかにしてください。,열람실에서는 조용히 해 주세요.
エレガント,エレガント,우아함,JLPT_1 JLPT,!%0#Y1`=tx,彼女はエレガントな服を選んだ。,かのじょはえれがんとなふくをえらんだ。,그녀는 우아한 옷을 골랐다.
円満,えんまん,원만함,JLPT_1 JLPT,c[l[^t2`ao,二人は円満に離婚した。,ふたりはえんまんにりこんした。,두 사람은 원만하게 이혼했다.
負う,おう,① 짊어지다 ② 혜택을 입다,JLPT_1 JLPT,5}`3[Amvfr,失敗の責任を負う。,しっぱいのせきにんをおう。,실패의 책임을 진다.
応急,おうきゅう,응급,JLPT_1 JLPT,mMGYI8$BZK,傷口に応急処置を施した。,きずぐちにおうきゅうしょちをほどこした。,상처에 응급처치를 했다.
旺盛,おうせい,왕성,JLPT_1 JLPT,=B}UznXAeC,祖母は今も食欲旺盛だ。,そぼはいまもしょくよくおうせいだ。,할머니는 지금도 식욕이 왕성하다.
大筋,おおすじ,"대강, 대략, 요점",JLPT_1 JLPT,SS;54vhvJa,計画の大筋が固まった。,けいかくのおおすじがかたまった。,계획의 큰 줄기가 정해졌다.
オーバー,オーバー,"초과, 오버",JLPT_1 JLPT,bE8&<Zs?X;,予算を大幅にオーバーした。,よさんをおおはばにおーばーした。,예산을 크게 초과했다.
おおかた,おおかた,"거의, 대강",JLPT_1 JLPT,30@A>[_FY},参加者はおおかた帰った。,さんかしゃはおおかたかえった。,참가자는 거의 돌아갔다.
大げさ,おおげさ,"과장됨, 야단스러움",JLPT_1 JLPT,;Ko$OpQ4c6,そんなに大げさに騒ぐな。,そんなにおおげさにさわぐな。,그렇게 야단스럽게 굴지 마라.
おおまか,おおまか,"대범함, 대충",JLPT_1 JLPT,{mDc@S-Ac-,まず、おおまかな日程を決める。,まず、おおまかなにっていをきめる。,우선 대략적인 일정을 정한다.
おおらか,おおらか,대범하고 느긋함,JLPT_1 JLPT,ix9<AtIbAR,父はおおらかな性格だ。,ちちはおおらかなせいかくだ。,아버지는 대범하고 느긋한 성격이다.
おさまる,おさまる,잠잠해지다,JLPT_1 JLPT,+0s4:2$HWa,騒ぎはようやくおさまった。,さわぎはようやくおさまった。,소동은 마침내 잠잠해졌다.
おどおど,おどおど,쭈뼛쭈뼛,JLPT_1 JLPT,lVVq1;4Tf:,少年は警官の前でおどおどした。,しょうねんはけいかんのまえでおどおどした。,소년은 경찰 앞에서 쭈뼛거렸다.
おびただしい,おびただしい,(수·양) 엄청나다,JLPT_1 JLPT,|cf4);Ch[O,浜におびただしい魚が打ち上がった。,はまにおびただしいさかながうちあがった。,해변에 엄청난 수의 물고기가 떠밀려 왔다.
おもむき,おもむき,"풍취, 멋",JLPT_1 JLPT,Co(q1Mfnsf,古い町並みに独特のおもむきがある。,ふるいまちなみにはどくとくのおもむきがある。,오래된 거리에 독특한 정취가 있다.
及ぼす,およぼす,(영향) 미치다,JLPT_1 JLPT,YGMOZW84o.,騒音は健康にも害を及ぼす。,そうおんはけんこうにもがいをおよぼす。,소음은 건강에도 해를 끼친다.
おろか,おろか,어리석음,JLPT_1 JLPT,"P3kUeVI,So",同じ過ちを繰り返すとはおろかだ。,おなじあやまちをくりかえすとはおろかだ。,같은 잘못을 반복하다니 어리석다.
おろそか,おろそか,소홀함,JLPT_1 JLPT,gB7z]e}*@U,安全確認をおろそかにするな。,あんぜんかくにんをおろそかにするな。,안전 확인을 소홀히 하지 마라.
快挙,かいきょ,쾌거,JLPT_1 JLPT,tV;N%6u(o!,初出場で優勝するという快挙を成し遂げた。,はつしゅつじょうでゆうしょうするというかいきょをなしとげた。,첫 출전에서 우승하는 쾌거를 이뤘다.
改修,かいしゅう,"개수, 수리",JLPT_1 JLPT,>d8EyTGg_T,老朽化した校舎を改修する。,ろうきゅうかしたこうしゃをかいしゅうする。,노후한 교사를 보수한다.
解除,かいじょ,해제,JLPT_1 JLPT,9W$W{}H[x$,暗証番号を入れてロックを解除した。,あんしょうばんごうをいれてろっくをかいじょした。,비밀번호를 입력해 잠금을 해제했다.
会心,かいしん,"회심, 마음에 듦",JLPT_1 JLPT,9=boki>ghm,会心の一打で試合を決めた。,かいしんのいちだでしあいをきめた。,회심의 일타로 경기를 결정지었다.
概説,がいせつ,개설,JLPT_1 JLPT,d$I)(aB~!b,冒頭で研究の歴史を概説した。,ぼうとうでけんきゅうのれきしをがいせつした。,서두에서 연구의 역사를 개괄했다.
(改訂)版,(かいてい)ばん,(개정)판,JLPT_1 JLPT,t{NG;+b~a[,辞書の改訂版が来月出る。,じしょのかいていばんがらいげつでる。,사전 개정판이 다음 달 나온다.
該当,がいとう,해당,JLPT_1 JLPT,"l#vI,!H-5@",条件に該当する人を選ぶ。,じょうけんにがいとうするひとをえらぶ。,조건에 해당하는 사람을 고른다.
介入,かいにゅう,개입,JLPT_1 JLPT,8oJD~.&2!3,政府が民間取引に介入した。,せいふがみんかんとりひきにかいにゅうした。,정부가 민간 거래에 개입했다.
概念,がいねん,개념,JLPT_1 JLPT,"-vIq(,5c4T",子供には時間の概念がまだ薄い。,こどもにはじかんのがいねんがまだうすい。,아이에게는 시간 개념이 아직 희박하다.
介抱,かいほう,"간호, 병구완",JLPT_1 JLPT,kU?s`IwfKl,倒れた老人を皆で介抱した。,たおれたろうじんをみんなでかいほうした。,쓰러진 노인을 모두가 돌봤다.
顔が広い,かおがひろい,발이 넓다,JLPT_1 JLPT,$IVY&{!{I@,叔父は顔が広く、知り合いが多い。,おじはかおがひろく、しりあいがおおい。,삼촌은 발이 넓어 아는 사람이 많다.
掲げる,かかげる,"내걸다, 내세우다",JLPT_1 JLPT,"ZLn@Sd2=K,",店頭に新商品の旗を掲げた。,てんとうにしんしょうひんのはたをかかげた。,매장 앞에 신상품 깃발을 내걸었다.
確実,かくじつ,확실함,JLPT_1 JLPT,dVy11w~%4o,確実な方法を選びたい。,かくじつなほうほうをえらびたい。,확실한 방법을 택하고 싶다.
革新,かくしん,혁신,JLPT_1 JLPT,]e3t#~7Iy7,技術革新が暮らしを変えた。,ぎじゅつかくしんがくらしをかえた。,기술 혁신이 삶을 바꿨다.
確保,かくほ,확보,JLPT_1 JLPT,m~ED`pmiI8,避難経路を確保してください。,ひなんけいろをかくほしてください。,대피 경로를 확보해 주세요.
駆けつける,かけつける,"서둘러 가다, 급히 달려가다",JLPT_1 JLPT,Z+/3r-e|@%,知らせを聞いて病院へ駆けつけた。,しらせをきいてびょういんへかけつけた。,소식을 듣고 병원으로 급히 달려갔다.
可決される,かけつされる,가결되다,JLPT_1 JLPT,unyG!x_Y7E,予算案は賛成多数で可決された。,よさんあんはさんせいたすうでかけつされた。,예산안은 찬성 다수로 가결됐다.
加減,かげん,"가감, 조절",JLPT_1 JLPT,8D8WG3KR5+,火加減を弱くしてください。,ひかげんをよわくしてください。,불 조절을 약하게 해 주세요.
加工,かこう,가공,JLPT_1 JLPT,@$EGA}c6ne,工場で木材を加工する。,こうじょうでもくざいをかこうする。,공장에서 목재를 가공한다.
かさばる,かさばる,부피가 커지다,JLPT_1 JLPT,)|(hY~BRt<,冬服は厚くてかさばる。,ふゆふくはあつくてかさばる。,겨울옷은 두꺼워서 부피가 크다.
過疎,かそ,과소(지나치게 성김),JLPT_1 JLPT,",{q2-r|b[D",若者の流出で過疎が進んだ。,わかもののりゅうしゅつでかそがすすんだ。,젊은이들의 유출로 과소화가 진행됐다.
かたわら,かたわら,"옆, 곁",JLPT_1 JLPT,ZJJvVw0CpT,教師をするかたわら小説も書く。,きょうしをするかたわらしょうせつもかく。,교사로 일하는 한편 소설도 쓴다.
かつ,かつ,"동시에, 한편",JLPT_1 JLPT,-|&7]ULgse,この靴は軽く、かつ丈夫だ。,このくつはかるく、かつじょうぶだ。,이 신발은 가볍고 동시에 튼튼하다.
画期的,かっきてき,획기적임,JLPT_1 JLPT,zOG6H5+lC9,画期的な治療法が開発された。,かっきてきなちりょうほうがかいはつされた。,획기적인 치료법이 개발됐다.
合併,がっぺい,합병,JLPT_1 JLPT,C^SplQ%U!?,二社は来年合併する。,にしゃはらいねんがっぺいする。,두 회사는 내년에 합병한다.
稼働,かどう,가동,JLPT_1 JLPT,"zsD!q2O1F,",新工場は来月から稼働する。,しんこうじょうはらいげつからかどうする。,새 공장은 다음 달부터 가동한다.
稼動,かどう,가동,JLPT_1 JLPT,TE8Q/}8_dl,発電機が正常に稼動している。,はつでんきがせいじょうにかどうしている。,발전기가 정상적으로 가동되고 있다.
加筆する,かひつする,덧붙이다,JLPT_1 JLPT,E!p3Sx}zDF,原稿に説明を加筆する。,げんこうにせつめいをかひつする。,원고에 설명을 덧붙인다.
過密,かみつ,"과밀(함), 빽빽함",JLPT_1 JLPT,HfOS]F17J<,都市の過密を解消する必要がある。,としのかみつをかいしょうするひつようがある。,도시 과밀을 해소할 필요가 있다.
がやがやと,がやがやと,왁자지껄,JLPT_1 JLPT,w6:LG?P(RG,教室で生徒ががやがやと話している。,きょうしつでせいとががやがやとはなしている。,교실에서 학생들이 왁자지껄 떠든다.
がらりと,がらりと,"확, 싹(갑자기 변하는 모양)",JLPT_1 JLPT,-ZlH%D.db1,髪を切ると印象ががらりと変わった。,かみをきるといんしょうががらりとかわった。,머리를 자르자 인상이 확 달라졌다.
ガレージ,ガレージ,차고,JLPT_1 JLPT,fc%+Ck):[a,車をガレージに入れた。,くるまをがれーじにいれた。,차를 차고에 넣었다.
過労,かろう,과로,JLPT_1 JLPT,hy79pz(:T[,過労で体を壊してしまった。,かろうでからだをこわしてしまった。,과로로 몸을 망치고 말았다.
かろうじて,かろうじて,"겨우, 간신히",JLPT_1 JLPT,:h.W?olhd;,最終列車にかろうじて間に合った。,さいしゅうれっしゃにかろうじてまにあった。,막차에 간신히 맞췄다.
完結,かんけつ,완결,JLPT_1 JLPT,n`G%?<Un(N,物語は一冊で完結する。,ものがたりはいっさつでかんけつする。,이야기는 한 권으로 완결된다.
還元,かんげん,환원,JLPT_1 JLPT,35w$1[;F7E,利益を利用者に還元する。,りえきをりようしゃにかんげんする。,이익을 이용자에게 환원한다.
頑固,がんこ,완고함,JLPT_1 JLPT,?alv)hy]Ph,祖父は頑固で考えを変えない。,そふはがんこでかんがえをかえない。,할아버지는 완고해서 생각을 바꾸지 않는다.
肝心,かんじん,"중요함, 요긴함",JLPT_1 JLPT,dSA4J*LoN^,肝心な名前を聞き忘れた。,かんじんななまえをききわすれた。,정작 중요한 이름을 묻는 것을 잊었다.
カンニング,カンニング,커닝,JLPT_1 JLPT,c[uZ2#f[2Q,試験中のカンニングが発覚した。,しけんちゅうのかんにんぐがはっかくした。,시험 중 부정행위가 발각됐다.
危害,きがい,위해,JLPT_1 JLPT,"-<i?gIyn,x",野生動物に危害を加えてはならない。,やせいどうぶつにきがいをくわえてはならない。,야생 동물에게 위해를 가해서는 안 된다.
気掛かり,きがかり,"걱정, 마음에 걸림",JLPT_1 JLPT,@4EZ9u3ju1,母の病状が気掛かりだ。,ははのびょうじょうがきがかりだ。,어머니의 병세가 걱정된다.
規格,きかく,규격,JLPT_1 JLPT,"?&xA1,rw`%",この部品は国の規格に合う。,このぶひんはくにのきかくにあう。,이 부품은 국가 규격에 맞는다.
きがね,きがね,"어렵게 여김, 스스럼",JLPT_1 JLPT,"$+$sB?VJa,",親しい友達にはきがねなく頼める。,したしいともだちにはきがねなくたのめる。,친한 친구에게는 스스럼없이 부탁할 수 있다.
ぎくしゃく,ぎくしゃく,"껄끄러움, 어색함",JLPT_1 JLPT,ngL<4nFxFY,二人の関係がぎくしゃくしている。,ふたりのかんけいがぎくしゃくしている。,두 사람의 관계가 껄끄럽다.
棄権,きけん,기권,JLPT_1 JLPT,AO^L^&Z1h},けがのため決勝を棄権した。,けがのためけっしょうをきけんした。,부상 때문에 결승을 기권했다.
きしむ,きしむ,삐걱거리다,JLPT_1 JLPT,!wRX#a[kLG,古い床が歩くたびにきしむ。,ふるいゆかがあるくたびにきしむ。,낡은 마룻바닥이 걸을 때마다 삐걱거린다.
規制,きせい,규제,JLPT_1 JLPT,:B||bW85i_,車の通行を規制する。,くるまのつうこうをきせいする。,차량 통행을 규제한다.
きっちり,きっちり,꼭 맞는 모양,JLPT_1 JLPT,zRiz`_Ro-n,箱にきっちり収まった。,はこにきっちりおさまった。,상자에 꼭 맞게 들어갔다.
きっぱり(と),きっぱり(と),"딱 잘라, 단호하게",JLPT_1 JLPT,ckn_#@0^$-,彼は誘いをきっぱりと断った。,かれはさそいをきっぱりとことわった。,그는 제안을 단호히 거절했다.
