expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
鼻をつく,はなをつく,코를 찌르다,JLPT_1 JLPT,zwR|w*y=cq,部屋に入ると薬品の臭いが鼻をついた。,へやにはいるとやくひんのにおいがはなをついた。,방에 들어가자 약품 냄새가 코를 찔렀다.
幅広い,はばひろい,폭넓다,JLPT_1 JLPT,Hu.4Ov+bMH,この図書館は幅広い分野の本をそろえている。,このとしょかんははばひろいぶんやのほんをそろえている。,이 도서관은 폭넓은 분야의 책을 갖추고 있다.
生やす,はやす,(수염·초목 등) 기르다,JLPT_1 JLPT,pd0z~k8;I=,彼は役作りのために長い髭を生やした。,かれはやくづくりのためにながいひげをはやした。,그는 배역 준비를 위해 긴 수염을 길렀다.
はらはら,はらはら,조마조마,JLPT_1 JLPT,"b>cx<,V66g",子供が道路へ飛び出さないかとはらはらした。,こどもがどうろへとびださないかとはらはらした。,아이가 도로로 뛰어나가지 않을까 조마조마했다.
反応,はんのう,반응,JLPT_1 JLPT,nD-.1^0/2%,新製品に対する客の反応は予想以上によかった。,しんせいひんにたいするきゃくのはんのうはよそういじょうによかった。,신제품에 대한 고객 반응은 예상보다 좋았다.
非,ひ,잘못,JLPT_1 JLPT,w9%_>gU/#E,彼の行為の非を責めるだけでは解決しない。,かれのこういのひをせめるだけではかいけつしない。,그의 행위가 잘못됐다고 탓하기만 해서는 해결되지 않는다.
ひいては,ひいては,(더) 나아가서는,JLPT_1 JLPT,B/`4n~#vF2,節電は家計を助け、ひいては環境保護にもなる。,せつでんはかけいをたすけ、ひいてはかんきょうほごにもなる。,절전은 가계에 도움이 되고 더 나아가 환경 보호에도 기여한다.
ひしひしと,ひしひしと,절실히,JLPT_1 JLPT,R/(o[bP$}`,離れて暮らし、家族のありがたさをひしひしと感じた。,はなれてくらし、かぞくのありがたさをひしひしとかんじた。,떨어져 살면서 가족의 고마움을 절실히 느꼈다.
一息,ひといき,한숨 돌림,JLPT_1 JLPT,Aiq7pV#kv2,荷物を置いて一息ついてから出発しよう。,にもつをおいてひといきついてからしゅっぱつしよう。,짐을 놓고 한숨 돌린 뒤 출발하자.
人出,ひとで,나들이 인파,JLPT_1 JLPT,a|rGbn{-<V,祭りの日は駅前も大変な人出だった。,まつりのひはえきまえもたいへんなひとでだった。,축제 날에는 역 앞도 엄청난 인파로 붐볐다.
ひとまず,ひとまず,"일단, 우선",JLPT_1 JLPT,+)$o!~Tvur,ひとまず応急処置をして病院へ向かった。,ひとまずおうきゅうしょちをしてびょういんへむかった。,일단 응급 처치를 하고 병원으로 향했다.
表明,ひょうめい,표명,JLPT_1 JLPT,/B<DUyCi1i,市長は次の選挙に出馬する意向を表明した。,しちょうはつぎのせんきょにしゅつばするいこうをひょうめいした。,시장은 다음 선거에 출마할 뜻을 표명했다.
貧弱,ひんじゃく,빈약함,JLPT_1 JLPT,h+S>?`g@us,根拠が貧弱な主張には説得力がない。,こんきょがひんじゃくなしゅちょうにはせっとくりょくがない。,근거가 빈약한 주장에는 설득력이 없다.
ピント,ピント,"핀트, 초점",JLPT_1 JLPT,F+LvQcg3TX,写真のピントが合わず顔がぼやけてしまった。,しゃしんのぴんとがあわずかおがぼやけてしまった。,사진의 초점이 맞지 않아 얼굴이 흐릿해졌다.
頻繁,ひんぱん,빈번함,JLPT_1 JLPT,s%F?U$)3{!,この路線は事故で頻繁に遅れる。,このろせんはじこでひんぱんにおくれる。,이 노선은 사고로 자주 지연된다.
ファイト,ファイト,"파이팅, 투지",JLPT_1 JLPT,{Z~pwQ<pd<,最後まで諦めるな、ファイト！,さいごまであきらめるな、ふぁいと！,"끝까지 포기하지 마, 파이팅!"
風習,ふうしゅう,풍습,JLPT_1 JLPT,`+Z.JmyQ/=,正月に餅を食べる風習が今も残っている。,しょうがつにもちをたべるふうしゅうがいまものこっている。,설날에 떡을 먹는 풍습이 지금도 남아 있다.
フォーム,フォーム,"폼, 모양",JLPT_1 JLPT,furEkK`dL),けがを防ぐため正しいフォームで走る。,けがをふせぐためただしいふぉーむではしる。,부상을 막기 위해 올바른 자세로 달린다.
フォロー,フォロー,지원,JLPT_1 JLPT,[Br6E$)J;*,新人が困らないよう先輩がフォローする。,しんじんがこまらないようせんぱいがふぉろーする。,신입이 곤란하지 않도록 선배가 지원한다.
深まる,ふかまる,깊어지다,JLPT_1 JLPT,S|=;R#K6fz,交流を重ねるうちに両国の理解が深まった。,こうりゅうをかさねるうちにりょうこくのりかいがふかまった。,교류를 거듭하면서 양국의 이해가 깊어졌다.
ふさわしい,ふさわしい,어울리다,JLPT_1 JLPT,*0{8u_<?GB,この落ち着いた色は式典にふさわしい。,このおちついたいろはしきてんにふさわしい。,이 차분한 색은 기념식에 어울린다.
払拭,ふっしょく,불식,JLPT_1 JLPT,G<Od&79ke`,新社長は会社への不安を払拭しようと努めた。,しんしゃちょうはかいしゃへのふあんをふっしょくしようとつとめた。,신임 사장은 회사에 대한 불안을 불식하려고 노력했다.
無難,ぶなん,무난함,JLPT_1 JLPT,+iFcq(v1n4,初対面なら政治の話題は避けるのが無難だ。,しょたいめんならせいじのわだいはさけるのがぶなんだ。,첫 만남이라면 정치 이야기는 피하는 것이 무난하다.
不備,ふび,충분히 갖추어지지 않음,JLPT_1 JLPT,DsZ>2_^UmT,書類に不備があり申請を受理できなかった。,しょるいにふびがありしんせいをじゅりできなかった。,서류에 미비한 점이 있어 신청을 접수할 수 없었다.
ふらふら,ふらふら,"휘청휘청, 비틀비틀",JLPT_1 JLPT,}+u3Xdw|Rd,高熱で足元がふらふらしてまっすぐ歩けない。,こうねつであしもとがふらふらしてまっすぐあるけない。,고열로 다리가 휘청거려 똑바로 걸을 수 없다.
ぶらぶら,ぶらぶら,① 어슬렁어슬렁 ② 빈둥빈둥,JLPT_1 JLPT,s@zz(G?bO1,休日は商店街をぶらぶら歩いて過ごした。,きゅうじつはしょうてんがいをぶらぶらあるいてすごした。,휴일에는 상점가를 어슬렁거리며 보냈다.
ブランク,ブランク,"공백, 경력 단절",JLPT_1 JLPT,U[g3@fWN$=,十年のブランクを経て舞台に復帰した。,じゅうねんのぶらんくをへてぶたいにふっきした。,10년의 공백을 거쳐 무대에 복귀했다.
振り出し,ふりだし,"출발점, 처음 상태",JLPT_1 JLPT,?:3riUi]Hh,交渉が決裂し、話は振り出しに戻った。,こうしょうがけつれつし、はなしはふりだしにもどった。,협상이 결렬되어 이야기는 원점으로 돌아갔다.
付録,ふろく,부록,JLPT_1 JLPT,%8D!A~vmAm,巻末の付録に用語一覧が載っている。,かんまつのふろくにようごいちらんがのっている。,책 끝의 부록에 용어 목록이 실려 있다.
並行,へいこう,병행,JLPT_1 JLPT,@&jc|{~J6`,大学での勉強と仕事を並行して続けた。,だいがくでのべんきょうとしごとをへいこうしてつづけた。,대학 공부와 일을 병행했다.
へとへと,へとへと,몹시 지쳐서 힘이 없는 모양,JLPT_1 JLPT,wTXp;i<eur,一日中引っ越し作業をしてへとへとになった。,いちにちじゅうひっこしさぎょうをしてへとへとになった。,하루 종일 이사 작업을 해서 녹초가 되었다.
便宜,べんぎ,편의,JLPT_1 JLPT,=QS0?8pV_2,参加者の便宜を図り、駅から送迎バスを出す。,さんかしゃのべんぎをはかり、えきからそうげいばすをだす。,참가자의 편의를 위해 역에서 셔틀버스를 운행한다.
返却,へんきゃく,"반납, 반환",JLPT_1 JLPT,o{N^.PU;b},借りた本は二週間以内に返却してください。,かりたほんはにしゅうかんいないにへんきゃくしてください。,빌린 책은 2주 이내에 반납해 주세요.
返上,へんじょう,"반납, 반환",JLPT_1 JLPT,TzdANrW<L1,選手はけがのため今季のタイトルを返上した。,せんしゅはけがのためこんきのたいとるをへんじょうした。,선수는 부상 때문에 이번 시즌 타이틀을 반납했다.
報じる,ほうじる,알리다,JLPT_1 JLPT,QWS*(GpM@y,各社は事件の発生を一斉に報じた。,かくしゃはじけんのはっせいをいっせいにほうじた。,각 언론사는 사건 발생을 일제히 보도했다.
ほぐれる,ほぐれる,"풀리다, 누그러지다",JLPT_1 JLPT,mg$b?>uFQ],温泉につかると肩の筋肉がほぐれた。,おんせんにつかるとかたのきんにくがほぐれた。,온천에 몸을 담그자 어깨 근육이 풀렸다.
保護,ほご,보호,JLPT_1 JLPT,&)wf4tW:cD,希少な野生動物を密猟から保護する。,きしょうなやせいどうぶつをみつりょうからほごする。,희귀 야생동물을 밀렵으로부터 보호한다.
補充,ほじゅう,보충,JLPT_1 JLPT,OZ*(E|830S,売り切れる前に棚の商品を補充した。,うりきれるまえにたなのしょうひんをほじゅうした。,다 팔리기 전에 진열대 상품을 보충했다.
募集,ぼしゅう,모집,JLPT_1 JLPT,.buhagB68.,夏祭りを手伝うボランティアを募集している。,なつまつりをてつだうぼらんてぃあをぼしゅうしている。,여름 축제를 도울 자원봉사자를 모집하고 있다.
没収,ぼっしゅう,몰수,JLPT_1 JLPT,kMGN51}n8l,試験中に使った携帯電話は監督に没収された。,しけんちゅうにつかったけいたいでんわはかんとくにぼっしゅうされた。,시험 중 사용한 휴대전화는 감독관에게 몰수당했다.
発足,ほっそく,발족,JLPT_1 JLPT,"A3,Tb8nyh}",新しい支援団体が四月に発足した。,あたらしいしえんだんたいがしがつにほっそくした。,새 지원 단체가 4월에 발족했다.
施す,ほどこす,"행하다, 장식하다",JLPT_1 JLPT,/ery60k$)@,職人が箱の表面に美しい装飾を施した。,しょくにんがはこのひょうめんにうつくしいそうしょくをほどこした。,장인이 상자 표면에 아름다운 장식을 했다.
ぼやける,ぼやける,"흐려지다, 희미해지다",JLPT_1 JLPT,^^-a[5Wzq#,霧で遠くの山並みがぼやけて見える。,きりでとおくのやまなみがぼやけてみえる。,안개 때문에 먼 산줄기가 흐릿하게 보인다.
本音,ほんね,"본심, 속마음",JLPT_1 JLPT,l$Kx;{@pO8,酒が入るとつい本音が出てしまう。,さけがはいるとついほんねがでてしまう。,술이 들어가면 그만 속마음이 나와 버린다.
紛れる,まぎれる,"헷갈리다, (비슷해서) 분간 못하다",JLPT_1 JLPT,V-Hpqi0kO!,暗闇では黒い服が周囲に紛れて見えない。,くらやみではくろいふくがしゅういにまぎれてみえない。,어둠 속에서는 검은 옷이 주변에 섞여 보이지 않는다.
まく,まく,뿌리다,JLPT_1 JLPT,*[&DPQ/AVP,乾いた畑にじょうろで水をまく。,かわいたはたけにじょうろでみずをまく。,마른 밭에 물뿌리개로 물을 뿌린다.
まじわる,まじわる,① 교차하다 ② 뒤섞이다,JLPT_1 JLPT,voV%^vrp``,二本の道が村の入口でまじわる。,にほんのみちがむらのいりぐちでまじわる。,두 갈래 길이 마을 입구에서 교차한다.
まちまち,まちまち,"제각각, 각기 다름",JLPT_1 JLPT,:B>na_WJMM,参加者の服装は制服から私服までまちまちだ。,さんかしゃのふくそうはせいふくからしふくまでまちまちだ。,참가자들의 복장은 교복부터 사복까지 제각각이다.
まぬがれる,まぬがれる,"면하다, 피하다",JLPT_1 JLPT,-Pviw*NgEO,早期発見のおかげで手術をまぬがれた。,そうきはっけんのおかげでしゅじゅつをまぬがれた。,조기 발견 덕분에 수술을 피했다.
～まみれ,～まみれ,~투성이,JLPT_1 JLPT,Z0}3c|J]G*,雨の中を走り回って全身泥まみれになった。,あめのなかをはしりまわってぜんしんどろまみれになった。,빗속을 뛰어다녀 온몸이 진흙투성이가 되었다.
満場(一致),まんじょう(いっち),만장(일치),JLPT_1 JLPT,"`dLk,r7AP[",提案は満場一致で可決された。,ていあんはまんじょういっちでかけつされた。,제안은 만장일치로 가결되었다.
見合わせる,みあわせる,보류하다,JLPT_1 JLPT,]xjxAbBXp),悪天候のため試合の開催を見合わせた。,あくてんこうのためしあいのかいさいをみあわせた。,악천후 때문에 경기 개최를 보류했다.
見返り,みかえり,"대가, 보상",JLPT_1 JLPT,6<tHGI:/#w,親切に見返りを求めてはいけない。,しんせつにみかえりをもとめてはいけない。,친절에 대가를 바라서는 안 된다.
見かける,みかける,언뜻 보다,JLPT_1 JLPT,`K|M&I~.H2,今朝、駅で高校時代の先生を見かけた。,けさ、えきでこうこうじだいのせんせいをみかけた。,오늘 아침 역에서 고등학교 시절 선생님을 언뜻 보았다.
見苦しい,みぐるしい,보기 흉하다,JLPT_1 JLPT,`DYe?%LJk6,人前で責任を押し付け合う姿は見苦しい。,ひとまえでせきにんをおしつけあうすがたはみぐるしい。,남들 앞에서 서로 책임을 떠넘기는 모습은 보기 흉하다.
見込み,みこみ,"전망, 예정",JLPT_1 JLPT,zQcJ5bdg1U,この計画なら年内に完成する見込みだ。,このけいかくならねんないにかんせいするみこみだ。,이 계획이라면 연내에 완성될 전망이다.
密接,みっせつ,밀접함,JLPT_1 JLPT,Ym8+uHxjoC,生活習慣と健康には密接な関係がある。,せいかつしゅうかんとけんこうにはみっせつなかんけいがある。,생활 습관과 건강에는 밀접한 관계가 있다.
みっちり,みっちり,착실히,JLPT_1 JLPT,B`_(~(P$In,合宿では朝から晩までみっちり練習した。,がっしゅくではあさからばんまでみっちりれんしゅうした。,합숙에서는 아침부터 밤까지 착실히 연습했다.
見積もる,みつもる,어림잡다,JLPT_1 JLPT,<CqM].*%ME,修理費は少なくとも十万円と見積もられた。,しゅうりひはすくなくともじゅうまんえんとみつもられた。,수리비는 적어도 10만 엔으로 추산되었다.
身なり,みなり,옷차림,JLPT_1 JLPT,m~0#m-2@h-,面接では清潔な身なりを心掛けよう。,めんせつではせいけつなみなりをこころがけよう。,면접에서는 단정한 옷차림을 신경 쓰자.
身の回り,みのまわり,신변,JLPT_1 JLPT,2#Q]eqL8im,避難する前に身の回りの物をまとめた。,ひなんするまえにみのまわりのものをまとめた。,대피하기 전에 주변 물건을 챙겼다.
未練,みれん,미련,JLPT_1 JLPT,x=l8?l|g?r,卒業しても故郷への未練を断ち切れなかった。,そつぎょうしてもこきょうへのみれんをたちきれなかった。,졸업하고도 고향에 대한 미련을 끊지 못했다.
ムード,ムード,"무드, 분위기",JLPT_1 JLPT,"yp,zqKoV&W",照明を落とすと店内が静かなムードになった。,しょうめいをおとすとてんないがしずかなむーどになった。,조명을 낮추자 가게 안이 차분한 분위기가 되었다.
無計画,むけいかく,무계획,JLPT_1 JLPT,MqlRyD{=vq,無計画に借金を重ねれば生活が苦しくなる。,むけいかくにしゃっきんをかさねればせいかつがくるしくなる。,무계획하게 빚을 늘리면 생활이 어려워진다.
無効,むこう,무효,JLPT_1 JLPT,.!$.y@oqG7,期限を過ぎた入場券は無効です。,きげんをすぎたにゅうじょうけんはむこうです。,기한이 지난 입장권은 무효입니다.
むしゃくしゃする,むしゃくしゃする,"짜증나다, 언짢다",JLPT_1 JLPT,y-{Cbhc52Q,電車が何度も遅れて朝からむしゃくしゃする。,でんしゃがなんどもおくれてあさからむしゃくしゃする。,전철이 몇 번이나 늦어 아침부터 짜증이 난다.
無性に,むしょうに,"몹시, 공연히, 무턱대고",JLPT_1 JLPT,vDr}o$_is.,夜中に無性に甘い物が食べたくなった。,よなかにむしょうにあまいものがたべたくなった。,한밤중에 몹시 단것이 먹고 싶어졌다.
無茶,むちゃ,"터무니 없음, 당치 않음",JLPT_1 JLPT,"tyRR,g@z_t",初心者が一人で冬山に登るのは無茶だ。,しょしんしゃがひとりでふゆやまにのぼるのはむちゃだ。,초보자가 혼자 겨울 산에 오르는 것은 무모하다.
むなしい,むなしい,"공허하다, 허무하다",JLPT_1 JLPT,4}+sm`3~ik,努力が何の成果にもつながらずむなしかった。,どりょくがなんのせいかにもつながらずむなしかった。,노력이 아무 성과로도 이어지지 않아 허무했다.
無謀,むぼう,무모함,JLPT_1 JLPT,"A8s,NJUZd9",十分な装備もなく航海に出るのは無謀だ。,じゅうぶんなそうびもなくこうかいにでるのはむぼうだ。,충분한 장비도 없이 항해에 나서는 것은 무모하다.
明白,めいはく,명백함,JLPT_1 JLPT,?#>gqDG`N3,記録を見れば彼の説明が嘘なのは明白だ。,きろくをみればかれのせつめいがうそなのはめいはくだ。,기록을 보면 그의 설명이 거짓임은 명백하다.
明朗,めいろう,명랑함,JLPT_1 JLPT,oV8zRks}:j,彼女の明朗な性格が職場を明るくする。,かのじょのめいろうなせいかくがしょくばをあかるくする。,그녀의 명랑한 성격이 직장을 밝게 만든다.
めきめき,めきめき,"눈에 띄게, 두드러지게",JLPT_1 JLPT,!3q1:e`.lG,毎日泳ぐうちに記録がめきめき伸びた。,まいにちおよぐうちにきろくがめきめきのびた。,매일 수영하면서 기록이 눈에 띄게 향상됐다.
目先,めさき,"눈앞, 현재, 당장",JLPT_1 JLPT,/N|6v}#y*|,目先の利益にとらわれて信用を失った。,めさきのりえきにとらわれてしんようをうしなった。,눈앞의 이익에 사로잡혀 신용을 잃었다.
めざましい,めざましい,눈부시다,JLPT_1 JLPT,u=<lq`{[x(,この町は戦後めざましい発展を遂げた。,このまちはせんごめざましいはってんをとげた。,이 도시는 전후 눈부신 발전을 이루었다.
メディア,メディア,"미디어, 매체",JLPT_1 JLPT,>1{;em>m!o,事件は海外のメディアにも大きく報じられた。,じけんはかいがいのめでぃあにもおおきくほうじられた。,사건은 해외 매체에도 크게 보도되었다.
めど,めど,"목표, 전망",JLPT_1 JLPT,&H@pb!Cx6n,工事は来月中に終わるめどが立った。,こうじはらいげつちゅうにおわるめどがたった。,공사를 다음 달 안에 끝낼 수 있을 것으로 보인다.
面倒を見る,めんどうをみる,돌봐 주다,JLPT_1 JLPT,0{TptxWcQv,留守の間、隣人が猫の面倒を見てくれた。,るすのあいだ、りんじんがねこのめんどうをみてくれた。,집을 비운 동안 이웃이 고양이를 돌봐 주었다.
綿密,めんみつ,면밀함,JLPT_1 JLPT,QwGL::?U2C,医師は検査結果を綿密に分析した。,いしはけんさけっかをめんみつにぶんせきした。,의사는 검사 결과를 면밀히 분석했다.
猛(反対),もう(はんたい),맹(반대),JLPT_1 JLPT,7Zd=8SS7SM,住民は工場の建設に猛反対している。,じゅうみんはこうじょうのけんせつにもうはんたいしている。,주민들은 공장 건설에 맹렬히 반대하고 있다.
模型,もけい,모형,JLPT_1 JLPT,fqr]sfTkcp,建築家が木製の模型で新庁舎を示した。,けんちくかがもくせいのもけいでしんちょうしゃをしめした。,건축가가 목제 모형으로 새 청사를 보여 주었다.
目下,もっか,"목하, 현재",JLPT_1 JLPT,Rme`thec;R,目下、事故の原因を詳しく調査している。,もっか、じこのげんいんをくわしくちょうさしている。,현재 사고 원인을 자세히 조사하고 있다.
もっぱら,もっぱら,"오로지, 한결같이",JLPT_1 JLPT,"Qj[,x#-]Sb",退職後はもっぱら畑仕事をしている。,たいしょくごはもっぱらはたけしごとをしている。,퇴직 후에는 오로지 밭일을 하고 있다.
もてなす,もてなす,"대접하다, 환대하다",JLPT_1 JLPT,_n}}m&iftQ,主人は手料理で客をもてなした。,しゅじんはてりょうりできゃくをもてなした。,주인은 손수 만든 요리로 손님을 대접했다.
もどかしい,もどかしい,"애가 타다, 안타깝다",JLPT_1 JLPT,btfsep#Wh*,思いをうまく言葉にできずもどかしい。,おもいをうまくことばにできずもどかしい。,마음을 말로 잘 표현하지 못해 답답하다.
もろい,もろい,"약하다, 여리다",JLPT_1 JLPT,$;J6(J!nz5,古い紙はもろく、触れただけで破れた。,ふるいかみはもろく、ふれただけでやぶれた。,오래된 종이는 약해서 건드리기만 해도 찢어졌다.
もろに,もろに,"정면으로, 직접",JLPT_1 JLPT,a`uIsV;IWQ,海岸の町は台風の直撃をもろに受けた。,かいがんのまちはたいふうのちょくげきをもろにうけた。,해안 도시는 태풍의 직격탄을 그대로 맞았다.
焼け石に水,やけいしにみず,언 발에 오줌누기(임시방편),JLPT_1 JLPT,w!nAr7#`T},少額の援助では膨大な赤字には焼け石に水だ。,しょうがくのえんじょではぼうだいなあかじにはやけいしにみずだ。,소액의 지원으로는 막대한 적자를 메우기에 턱없이 부족하다.
野心,やしん,야심,JLPT_1 JLPT,yiL(EbfA/s,彼は世界市場に進出する野心を抱いている。,かれはせかいしじょうにしんしゅつするやしんをいだいている。,그는 세계 시장에 진출하려는 야심을 품고 있다.
ややこしい,ややこしい,까다롭다,JLPT_1 JLPT,0A!:V?X>x_,税金の手続きは複雑でややこしい。,ぜいきんのてつづきはふくざつでややこしい。,세금 절차는 복잡하고 까다롭다.
和らげる,やわらげる,완화시키다,JLPT_1 JLPT,$zM}5w}SkP,薬で関節の痛みを和らげる。,くすりでかんせつのいたみをやわらげる。,약으로 관절 통증을 완화한다.
やんわり,やんわり,"부드럽게, 살며시",JLPT_1 JLPT,7dBJfF5/#c,誘いをやんわり断る言い方を考えた。,さそいをやんわりことわるいいかたをかんがえた。,권유를 부드럽게 거절할 표현을 생각했다.
ユーモア,ユーモア,유머,JLPT_1 JLPT,#I90eF!I?9,緊張した会場を彼のユーモアが和ませた。,きんちょうしたかいじょうをかれのゆーもあがなごませた。,긴장된 행사장을 그의 유머가 누그러뜨렸다.
誘惑,ゆうわく,유혹,JLPT_1 JLPT,xoK>+J;Y7A,目先の利益の誘惑に負けてはいけない。,めさきのりえきのゆうわくにまけてはいけない。,눈앞의 이익이라는 유혹에 넘어가서는 안 된다.
行き違い,ゆきちがい,"오해, 착오(いきちがい로도 읽음)",JLPT_1 JLPT,zV#@`Lb>~Y,連絡の行き違いで二人とも会場に遅れた。,れんらくのゆきちがいでふたりともかいじょうにおくれた。,연락 착오로 두 사람 모두 행사장에 늦었다.
行き届く,ゆきとどく,구석구석까지 미치다,JLPT_1 JLPT,X:&&uv4vS*,細かいところまで清掃が行き届いている。,こまかいところまでせいそうがゆきとどいている。,세세한 곳까지 청소가 잘 되어 있다.
ゆとり,ゆとり,여유,JLPT_1 JLPT,[K8G:rI`9j,予定にゆとりを持たせて早めに出発した。,よていにゆとりをもたせてはやめにしゅっぱつした。,일정에 여유를 두고 일찍 출발했다.
揺らぐ,ゆらぐ,흔들리다,JLPT_1 JLPT,$6Z4/sZO7J,不祥事によって政権への信頼が揺らいだ。,ふしょうじによってせいけんへのしんらいがゆらいだ。,불미스러운 일로 정권에 대한 신뢰가 흔들렸다.
ゆるめる,ゆるめる,늦추다,JLPT_1 JLPT,/dB!c|f%E4,苦しくなったので首元のボタンをゆるめた。,くるしくなったのでくびもとのぼたんをゆるめた。,답답해져서 목 부분의 단추를 풀었다.
