expression,reading,meaning,tags,guid
賢い,かしこい,현명하다,JLPT_1 JLPT,+/fYLgM3.7
稼ぐ,かせぐ,(돈을) 벌다,JLPT_1 JLPT,v|I;9$9y<2
偏る,かたよる,치우치다,JLPT_1 JLPT,m@^Kt7&h8n
花壇,かだん,화단,JLPT_1 JLPT,G]TZS)qLVD
兼ねる,かねる,겸하다,JLPT_1 JLPT,<7WoBnbp*Z
絡む,からむ,얽히다,JLPT_1 JLPT,"`e$Tn,RdwQ"
管轄,かんかつ,관할,JLPT_1 JLPT,"3C,i&S8bAu"
干渉,かんしょう,간섭,JLPT_1 JLPT,.uvEmy*>^V
頑丈,がんじょう,"튼튼함, 견고함",JLPT_1 JLPT,4OUj{+0aX/
鑑定,かんてい,(미술품 등의) 감정,JLPT_1 JLPT,&S]$R~qpZ1
監督,かんとく,감독,JLPT_1 JLPT,U3=G5f2Wjf
芳しくない,かんばしくない,"바람직하지 않다, 별로 좋지 않다",JLPT_1 JLPT,aIp/-I8mn@
緩和,かんわ,완화,JLPT_1 JLPT,9R6cdX$yZ>
企業,きぎょう,기업,JLPT_1 JLPT,"9[yYj,6.;{"
戯曲,ぎきょく,희곡,JLPT_1 JLPT,#{m!^}JgbL
既婚者,きこんしゃ,기혼자,JLPT_1 JLPT,[]>5{.=ecL
築く,きずく,쌓다,JLPT_1 JLPT,|H0%KfYZ[X
軌跡,きせき,궤적,JLPT_1 JLPT,U)}9NR3xHL
偽造,ぎぞう,위조,JLPT_1 JLPT,WhT6SD_DyW
厳しい,きびしい,"엄하다, 심하다",JLPT_1 JLPT,"xof${~<y,I"
寄附,きふ,기부,JLPT_1 JLPT,2VmY<-Lkju
義務,ぎむ,의무,JLPT_1 JLPT,QxT|i+j4#K
脚本,きゃくほん,"각본, 대본",JLPT_1 JLPT,"?,y$XHw3UK"
救援,きゅうえん,구원,JLPT_1 JLPT,?_yKe+/btt
丘陵,きゅうりょう,"구릉, 언덕",JLPT_1 JLPT,"rq),b1iqem"
凝縮,ぎょうしゅく,응축,JLPT_1 JLPT,_fHYt~gz#]
行政,ぎょうせい,행정,JLPT_1 JLPT,`BTzWwo;3y
驚嘆,きょうたん,경탄,JLPT_1 JLPT,"oM?It*h,n$"
胸中,きょうちゅう,"흉중, 가슴 속, 심정",JLPT_1 JLPT,M$x#IW(_*-
共鳴,きょうめい,"① 공명, 공진 ② 동감함, 공감함",JLPT_1 JLPT,"[d,&>Gurhn"
拒否,きょひ,거부,JLPT_1 JLPT,6_td/s=@[7
均衡,きんこう,균형,JLPT_1 JLPT,u/4(@1X1u^
緊迫,きんぱく,긴박함,JLPT_1 JLPT,"3iDf)&%;t,"
吟味,ぎんみ,"음미, 잘 조사하여 고름",JLPT_1 JLPT,"S?z,KU`Kg,"
草花,くさばな,화초,JLPT_1 JLPT,EnO0yr[:PC
崩す,くずす,무너뜨리다,JLPT_1 JLPT,Vz}Lkf4u:(
崩れる,くずれる,무너지다,JLPT_1 JLPT,aWoY$1nIMG
砕ける,くだける,"부서지다, 깨지다",JLPT_1 JLPT,iPl>9nKgcs
朽ち果てる,くちはてる,썩어 없어지다,JLPT_1 JLPT,wJqkLhrE9y
覆す,くつがえす,뒤엎다,JLPT_1 JLPT,0:9enTfWO9
配る,くばる,나눠 주다,JLPT_1 JLPT,L%#R>Wru(q
工夫,くふう,"궁리, 고안",JLPT_1 JLPT,K6;oHQ|E]C
詳しい,くわしい,"상세하다, 자세하다",JLPT_1 JLPT,F^r3-EwR?H
群衆,ぐんしゅう,군중,JLPT_1 JLPT,TU+lM2HVs?
経緯,けいい,경위,JLPT_1 JLPT,"e*BLx}1oy,"
傾斜する,けいしゃする,경사지다,JLPT_1 JLPT,W[EF1[T.TU
軽率,けいそつ,경솔함,JLPT_1 JLPT,9i&<$%%!er
欠陥,けっかん,결함,JLPT_1 JLPT,C[-l<-uy:e
欠乏,けつぼう,결핍,JLPT_1 JLPT,"A,L|pV*2z<"
気配,けはい,"낌새, 기운",JLPT_1 JLPT,"=B,.2=Hw3l"
検閲,けんえつ,검열,JLPT_1 JLPT,}w21g_X*[U
嫌悪感,けんおかん,혐오감,JLPT_1 JLPT,yp/<cb!J.6
厳正,げんせい,엄정함,JLPT_1 JLPT,"<-)M1(4,V!"
顕著に,けんちょに,현저하게,JLPT_1 JLPT,(~k){rQbcQ
検討,けんとう,검토,JLPT_1 JLPT,VIMvL=ReX`
賢明,けんめい,현명함,JLPT_1 JLPT,x!>]V;<&*9
行為,こうい,행위,JLPT_1 JLPT,"/-k2~,U<~f"
豪快,ごうかい,호쾌함,JLPT_1 JLPT,t|&{&V[hCz
貢献,こうけん,공헌,JLPT_1 JLPT,wC]yxTT&qf
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,&&A#d]{4g?
強盗,ごうとう,강도,JLPT_1 JLPT,KeY;=~M0q`
興奮,こうふん,흥분,JLPT_1 JLPT,;3[<M>VCnj
巧妙な,こうみょうな,교묘함,JLPT_1 JLPT,W4c:BD^HdL
行楽地,こうらくち,행락지,JLPT_1 JLPT,O@?]EGLfKv
考慮,こうりょ,고려,JLPT_1 JLPT,"S(4s<,NF<0"
高齢化,こうれいか,고령화,JLPT_1 JLPT,miz^=EK*Ar
枯渇,こかつ,고갈,JLPT_1 JLPT,K/G2w]L|L}
克服,こくふく,극복,JLPT_1 JLPT,"&,;Vf^<_Us"
克明,こくめい,① 자세하고 꼼꼼함 ② 성실하고 정직함,JLPT_1 JLPT,;o$(o){Ey7
心地よい,ここちよい,기분이 상쾌하다(좋다),JLPT_1 JLPT,<SM@Fpt9m>
心遣い,こころづかい,"마음을 씀, 걱정함, 배려",JLPT_1 JLPT,@FJ>>ff(o%
快い,こころよい,"상쾌하다, 기분 좋다",JLPT_1 JLPT,=>XZM-&Z6M
故障,こしょう,고장,JLPT_1 JLPT,Mbk)*FIKw@
小銭,こぜに,잔돈,JLPT_1 JLPT,KEaS4N4kl4
誇張,こちょう,과장,JLPT_1 JLPT,Do`z)J.g8c
込める,こめる,"담다, 포함하다",JLPT_1 JLPT,4<PpnDWBDC
志す,こころざす,"지향하다, 지망하다",JLPT_1 JLPT,"m[lV-,lqct"
拒む,こばむ,거부하다,JLPT_1 JLPT,ubJTq&tS7h
雇用,こよう,고용,JLPT_1 JLPT,;hT`(wt/DS
献立,こんだて,"식단, 메뉴",JLPT_1 JLPT,*KLSn;4d0D
根底,こんてい,"근저, 밑바탕, 기초",JLPT_1 JLPT,vZ<4}<~:;}
混乱,こんらん,혼란,JLPT_1 JLPT,fBN6@pDtBr
採択,さいたく,채택,JLPT_1 JLPT,s|Gwzj7Z<K
債務,さいむ,채무,JLPT_1 JLPT,qFsY_FuYW!
遮る,さえぎる,"막다, 차단하다",JLPT_1 JLPT,`FUQe*pZQM
裂く,さく,찢다,JLPT_1 JLPT,G9p0.fU/OF
削減,さくげん,삭감,JLPT_1 JLPT,!X8pvTDHkj
探る,さぐる,탐색하다,JLPT_1 JLPT,DTFN_0|t_9
避ける,さける,피하다,JLPT_1 JLPT,imb>+$mFNz
支える,ささえる,지탱하다,JLPT_1 JLPT,`[<*t:bvzj
指図,さしず,"지시, 지휘",JLPT_1 JLPT,lV$7be4C.!
錯覚,さっかく,착각,JLPT_1 JLPT,~86T1<_c^f
殺菌,さっきん,살균,JLPT_1 JLPT,.3wOtLCFcY
諭す,さとす,잘 타이르다,JLPT_1 JLPT,"(|,Z/[^)9="
裁く,さばく,"중재하다, 재판하다",JLPT_1 JLPT,IlmC:G@u<F
寂しい,さびしい,쓸쓸하다,JLPT_1 JLPT,Yn-ap806Wi
色彩,しきさい,"① 색채 ② 특색, 경향",JLPT_1 JLPT,JQ0gNb8qfJ
自己,じこ,자기,JLPT_1 JLPT,g`m:TVRQ~H
自粛,じしゅく,자숙,JLPT_1 JLPT,~6$4>sgSQB
姿勢,しせい,자세,JLPT_1 JLPT,0of!^QLwm<
施設,しせつ,시설,JLPT_1 JLPT,IX|wtHl4)]
事態,じたい,사태,JLPT_1 JLPT,TbBjV3;_$X
慕う,したう,"① 그리워하다, 연모하다 ② 우러르다",JLPT_1 JLPT,9B(.??Szq7
慕われる,したわれる,존경받다,JLPT_1 JLPT,1ZC1=o`h`i
実費,じっぴ,실비,JLPT_1 JLPT,1I&T7r.$a?
執筆,しっぴつ,집필,JLPT_1 JLPT,28y<JsVPM&
芝居,しばい,"연극, 연기",JLPT_1 JLPT,6y**Z!h~jg
視野,しや,시야,JLPT_1 JLPT,W0ds$)iiWy
斜面,しゃめん,경사면,JLPT_1 JLPT,>wgrczi8Ov
収益,しゅうえき,수익,JLPT_1 JLPT,kV5o?o%<^#
終始,しゅうし,"시종, 줄곧, 내내",JLPT_1 JLPT,sz7]-54=23
重視,じゅうし,중시,JLPT_1 JLPT,;eP_gYxA(.
充実,じゅうじつ,충실함,JLPT_1 JLPT,s0Z+Q0u?8N
執着,しゅうちゃく,집착,JLPT_1 JLPT,&#/4c&8r5g
柔軟,じゅうなん,유연함,JLPT_1 JLPT,Bmmy9KkG[9
従来,じゅうらい,종래,JLPT_1 JLPT,PkbrY*RaI8
修行,しゅぎょう,"수행(불교 본도를 닦음, 학문·기예를 연마함)",JLPT_1 JLPT,"8(L*@fc#Q,"
祝賀会,しゅくがかい,축하 모임,JLPT_1 JLPT,K~09{fJo61
趣旨,しゅし,취지,JLPT_1 JLPT,&rP/Ib{@?`
縮小,しゅくしょう,축소,JLPT_1 JLPT,EMwVXMt;Q~
首相,しゅしょう,수상,JLPT_1 JLPT,5nelpqo]l@
寿命,じゅみょう,수명,JLPT_1 JLPT,5Ob!VJ8~$[
樹木,じゅもく,수목,JLPT_1 JLPT,m<VN*-HHL+
需要,じゅよう,수요,JLPT_1 JLPT,g%X$(IVQjS
症状,しょうじょう,증상,JLPT_1 JLPT,"tHRkouO,G3"
承諾,しょうだく,승낙,JLPT_1 JLPT,H6CO2VN1/B
譲歩,じょうほ,양보,JLPT_1 JLPT,mIm.#~^<TR
奨励,しょうれい,장려,JLPT_1 JLPT,ht$:(qqK&S
処罰,しょばつ,처벌,JLPT_1 JLPT,f++k/.Rm`P
視力,しりょく,시력,JLPT_1 JLPT,:SZY4%Vsuk
神経,しんけい,신경,JLPT_1 JLPT,[yc>|zW}/U
信仰,しんこう,신앙,JLPT_1 JLPT,V>(3;{@|!m
振興,しんこう,진흥,JLPT_1 JLPT,c[Prn_[YGO
審査,しんさ,심사,JLPT_1 JLPT,$v~E@yxekw
人材,じんざい,인재,JLPT_1 JLPT,lk-]%aEQc(
真珠,しんじゅ,진주,JLPT_1 JLPT,rbNeS1[p3T
迅速,じんそく,신속함,JLPT_1 JLPT,B(M@8!-g6{
慎重,しんちょう,신중함,JLPT_1 JLPT,cuGQRJM|9+
辛抱,しんぼう,"참음, 인내",JLPT_1 JLPT,"!DE5o,#YY6"
人脈,じんみゃく,인맥,JLPT_1 JLPT,nccFwg?GQJ
遂行,すいこう,(계획·책임 등) 수행,JLPT_1 JLPT,&[R:9h~g0+
随時,ずいじ,수시,JLPT_1 JLPT,Ir+D:RSw2l
推進,すいしん,추진,JLPT_1 JLPT,Vvht2v(]Pl
崇高,すうこう,숭고함,JLPT_1 JLPT,].=7Q^LPf4
崇拝,すうはい,숭배,JLPT_1 JLPT,}.Oj|jxQ$;
透ける,すける,"비쳐 보이다, 들여다 보이다",JLPT_1 JLPT,8ty!0}!I=`
健やか,すこやか,"튼튼함, 건전함",JLPT_1 JLPT,.U~7C7ulX=
筋道,すじみち,"조리, 도리",JLPT_1 JLPT,RxxNL)DomI
勧める,すすめる,권하다,JLPT_1 JLPT,^&x91OzLNH
廃れる,すたれる,"스러지다, 유행하지 않게 되다",JLPT_1 JLPT,pxK3jSzX|Y
速やか,すみやか,"재빠름, 신속함",JLPT_1 JLPT,X9/*r`(3+[
澄む,すむ,"맑다, 맑아지다",JLPT_1 JLPT,}eyckl^=<m
盛大,せいだい,성대함,JLPT_1 JLPT,XM]gVzgGB_
政府筋,せいふすじ,정부 소식통,JLPT_1 JLPT,P+1sQc&&.8
誓約書,せいやくしょ,서약서,JLPT_1 JLPT,_x77De89Q6
施錠,せじょう,자물쇠를 채움,JLPT_1 JLPT,oO2K(a:vec
是正,ぜせい,시정(잘못된 것을 바로잡음),JLPT_1 JLPT,f`-MQ<hh){
絶叫,ぜっきょう,절규,JLPT_1 JLPT,dln%J[`?!g
設置,せっち,설치,JLPT_1 JLPT,-*scIAi##B
折衷,せっちゅう,절충,JLPT_1 JLPT,zT)yO*qJ3`
迫る,せまる,① (시각) 다가오다 ② (상태) 직면하다,JLPT_1 JLPT,9>W/Y@wl)2
前途,ぜんと,"전도, 앞길",JLPT_1 JLPT,_<}NOL+/cf
潜伏,せんぷく,잠복,JLPT_1 JLPT,/{.CJ{y52x
相互,そうご,상호,JLPT_1 JLPT,Y7M#y>VQ21
騒然とする,そうぜんとする,시끄럽다,JLPT_1 JLPT,T^/hTB`/=M
相場,そうば,시세,JLPT_1 JLPT,mm&}oN}l>>
添える,そえる,"첨부하다, 곁들이다",JLPT_1 JLPT,*3A/I*E%~T
束縛,そくばく,속박,JLPT_1 JLPT,p<Ge;6X)>]
損なう,そこなう,"파손하다, 상하게 하다",JLPT_1 JLPT,"A,-lSDs3&D"
素材,そざい,소재,JLPT_1 JLPT,5?81.pKP[n
阻止,そし,저지,JLPT_1 JLPT,i3G%sU;LMQ
訴訟,そしょう,소송,JLPT_1 JLPT,<tbo#`@t;`
措置,そち,"조치, 조처",JLPT_1 JLPT,ne#g;:uGDr
率先,そっせん,솔선,JLPT_1 JLPT,/]ECMzl)Jc
存続,そんぞく,존속,JLPT_1 JLPT,:jqfcjehK.
互いに,たがいに,"서로, 다 함께",JLPT_1 JLPT,g<Vkftm5AN
多岐にわたる,たきにわたる,여러 갈래에 걸치다,JLPT_1 JLPT,RbzEqu$Fmj
妥協,だきょう,타협,JLPT_1 JLPT,St]PZ3G<wc
卓越,たくえつ,"탁월, 뛰어남",JLPT_1 JLPT,=4ueG+v}zM
託す,たくす,맡기다,JLPT_1 JLPT,",Mc(AAeiXm"
蓄える,たくわえる,"대비해 두다, 저장하다",JLPT_1 JLPT,N)#*<K6@RK
漂う,ただよう,"떠돌다, 감돌다, 표류하다",JLPT_1 JLPT,+QZguIA:8z
脱する,だっする,벗어나다,JLPT_1 JLPT,DC|d{S-m;4
秩序,ちつじょ,질서,JLPT_1 JLPT,Ow*DfQgT`~
治癒,ちゆ,치유,JLPT_1 JLPT,/D9S<K_5cR
忠告,ちゅうこく,충고,JLPT_1 JLPT,=_;Ak@o`AB
中旬,ちゅうじゅん,중순,JLPT_1 JLPT,IZl:fY^C8p
彫刻,ちょうこく,조각,JLPT_1 JLPT,"@,E#BnDLG/"
徴収,ちょうしゅう,징수,JLPT_1 JLPT,4`{};j?Su6
沈下,ちんか,"침하, 물속에 가라앉음",JLPT_1 JLPT,:;fv$=r&q=
沈黙,ちんもく,침묵,JLPT_1 JLPT,S]@ui1o~{V
陳列,ちんれつ,진열,JLPT_1 JLPT,"U@#m00xs,/"
費やす,ついやす,소비하다,JLPT_1 JLPT,"F^MC5c&,I,"
尽くす,つくす,"다하다, 애쓰다",JLPT_1 JLPT,Gd.y&:vw3A
償い,つぐない,"보상, 속죄",JLPT_1 JLPT,}X^c!z_&tJ
告げる,つげる,알리다,JLPT_1 JLPT,^1})s?;dEq
努めて,つとめて,"애써, 되도록",JLPT_1 JLPT,*[ZV`Hq&<+
募る,つのる,① 모집하다 ② 더해지다,JLPT_1 JLPT,"CJuH`R?,.b"
貫く,つらぬく,관철하다,JLPT_1 JLPT,44ngzS!Ekg
提案,ていあん,제안,JLPT_1 JLPT,OUbAg;s70O
定義,ていぎ,정의,JLPT_1 JLPT,~W[|w}y0Vt
邸宅,ていたく,저택,JLPT_1 JLPT,<j~pF8PNDu
手軽に,てがるに,"간편하게, 손쉽게",JLPT_1 JLPT,O7Gxa{<!ZY
手際,てぎわ,"솜씨, 수완",JLPT_1 JLPT,"0+h]|bdQn,"
徹底,てってい,"철저, 투철",JLPT_1 JLPT,>cKRtl58+6
徹夜,てつや,철야,JLPT_1 JLPT,"pL,-OwMG_)"
転換,てんかん,전환,JLPT_1 JLPT,rg+&K:fIe3
典型,てんけい,전형,JLPT_1 JLPT,FpZA+GZ9o=
伝統的,でんとうてき,전통적,JLPT_1 JLPT,"6IQg{=@,AA"
添付,てんぷ,첨부,JLPT_1 JLPT,~apCCT6N/W
陶器,とうき,"도기, 도자기",JLPT_1 JLPT,:iUh&!IQ3J
踏襲する,とうしゅうする,"답습하다, 전철을 밟다",JLPT_1 JLPT,kMeH@[|JkE
尊い,とうとい,"소중하다, 귀중하다",JLPT_1 JLPT,aI52m!)Z/D
督促,とくそく,독촉,JLPT_1 JLPT,+d^M++|4v@
滞る,とどこおる,"정체되다, 막히다",JLPT_1 JLPT,26M!:KXqwH
唱える,となえる,"외치다, 주장하다",JLPT_1 JLPT,"5=9guN$Q3,"
隣,となり,이웃,JLPT_1 JLPT,FZ*SfrSU3q
乏しい,とぼしい,"부족하다, 가난하다",JLPT_1 JLPT,"orL#,u}:nA"
取り除く,とりのぞく,제거하다,JLPT_1 JLPT,a6SZ]$[I.h
泥沼,どろぬま,수렁,JLPT_1 JLPT,l~Asmk*#yl
問屋,とんや,도매상,JLPT_1 JLPT,VH]WS.l{=&
苗,なえ,모종,JLPT_1 JLPT,"I5,4/ECn/5"
眺める,ながめる,바라보다,JLPT_1 JLPT,g<.$UON4+9
慰める,なぐさめる,"달래다, 위로하다",JLPT_1 JLPT,JqVxR@cOYT
嘆く,なげく,탄식하다,JLPT_1 JLPT,WUUmVDP7XC
名残,なごり,"여운, 흔적",JLPT_1 JLPT,"-Mg@h,5Hf8"
倣う,ならう,"모방하다, 따르다",JLPT_1 JLPT,QQK6d)2|<C
日夜,にちや,"① 밤낮 ② 언제나, 늘",JLPT_1 JLPT,",-NQh|Q~?)"
鈍い,にぶい,둔하다,JLPT_1 JLPT,&X#1=5%s:C
鈍る,にぶる,둔해지다,JLPT_1 JLPT,r?NLa(=(a1
如実に,にょじつに,"여실히, 있는 그대로",JLPT_1 JLPT,f+LN2es=z5
認識,にんしき,인식,JLPT_1 JLPT,"WK,uLV2SH1"
忍耐,にんたい,인내,JLPT_1 JLPT,&Z+j7[_92j
縫う,ぬう,꿰매다,JLPT_1 JLPT,r3v7<wmmTH
粘る,ねばる,끈덕지게 버티다,JLPT_1 JLPT,"XI9FUqU,bN"
狙う,ねらう,노리다,JLPT_1 JLPT,A-6!#:71qb
粘膜,ねんまく,점막,JLPT_1 JLPT,_hirf_~)wv
臨む,のぞむ,임하다,JLPT_1 JLPT,k_JnV>qS7z
把握,はあく,파악,JLPT_1 JLPT,zu=yp$o3Ba
廃棄物,はいきぶつ,폐기물,JLPT_1 JLPT,%KvN.mZ&QR
背後,はいご,"등 뒤, 배후",JLPT_1 JLPT,G@ub[U!ZJz
映える,はえる,"빛나다, 사진이 잘 받다",JLPT_1 JLPT,fRXiHnIWiA
漠然,ばくぜん,막연함,JLPT_1 JLPT,"iwze^[-,uU"
暴露,ばくろ,폭로,JLPT_1 JLPT,HGYJT^2Q/Z
励む,はげむ,"힘쓰다, 노력하다",JLPT_1 JLPT,Q4d]Z3{aL-
端,はし,"끝, 가장자리",JLPT_1 JLPT,e^J+(qi3Ji
派生,はせい,파생,JLPT_1 JLPT,F*9l2$3E|s
破損,はそん,파손,JLPT_1 JLPT,HtWY_R+^#7
鉢,はち,"화분, 사발",JLPT_1 JLPT,Bo^4BLH*pd
発掘,はっくつ,발굴,JLPT_1 JLPT,"#4-ER,P}uG"
華やか,はなやか,화려함,JLPT_1 JLPT,"o/n,ci{O4d"
阻む,はばむ,"막다, 저지하다",JLPT_1 JLPT,4~Obq8q-B*
浜辺,はまべ,바닷가,JLPT_1 JLPT,T$TP~@<qBw
犯罪,はんざい,범죄,JLPT_1 JLPT,>u)EopzkDB
反射,はんしゃ,반사,JLPT_1 JLPT,jjOtRbn^4x
繁殖,はんしょく,번식,JLPT_1 JLPT,HXh:0Kv[.B
万能,ばんのう,만능,JLPT_1 JLPT,?vBxyE+5l[
被害者,ひがいしゃ,피해자,JLPT_1 JLPT,a2Gj;.{FQ0
悲惨,ひさん,비참함,JLPT_1 JLPT,|^Gy~#F327
潜む,ひそむ,"숨어 있다, 잠재하다",JLPT_1 JLPT,z:$:SbepbQ
人影,ひとかげ,"사람의 그림자, 인적",JLPT_1 JLPT,Gdtq1>DGa`
人柄,ひとがら,인품,JLPT_1 JLPT,/qphiwM6!>
人質,ひとじち,인질,JLPT_1 JLPT,B>bxcp-eAy
微妙,びみょう,미묘함,JLPT_1 JLPT,"<+fK,j.<)L"
評判,ひょうばん,평판,JLPT_1 JLPT,ete*bYpsQ@
披露,ひろう,"피로, 공표함",JLPT_1 JLPT,.U>@*$QrYD
貧富,ひんぷ,빈부,JLPT_1 JLPT,|=kL|cFD?W
普及,ふきゅう,보급,JLPT_1 JLPT,0-n>bA7i9f
侮辱,ぶじょく,모욕,JLPT_1 JLPT,/UMXn7;`b6
再び,ふたたび,"재차, 다시",JLPT_1 JLPT,Mz@hcY(t]B
負担,ふたん,부담,JLPT_1 JLPT,]w|fp.i}`_
復興,ふっこう,부흥,JLPT_1 JLPT,$e7;<;C@ub
赴任,ふにん,부임,JLPT_1 JLPT,`mL(?_J2^?
腐敗,ふはい,부패,JLPT_1 JLPT,SD*[mPMqT[
不平等,ふびょうどう,불평등,JLPT_1 JLPT,<~6wuN}E3Y
踏み場,ふみば,발 디딜 곳,JLPT_1 JLPT,%`6kV_0ssv
閉鎖,へいさ,폐쇄,JLPT_1 JLPT,[LOz)i%nH>
別荘,べっそう,별장,JLPT_1 JLPT,UR*vFrC9|5
返済,へんさい,"반제, (빚을) 갚음",JLPT_1 JLPT,41vZKw]Lmt
変遷,へんせん,변천,JLPT_1 JLPT,|w&X46T5zQ
奉仕,ほうし,봉사,JLPT_1 JLPT,gxiLaYn6/i
膨大,ぼうだい,방대함,JLPT_1 JLPT,"1D,ixgCQ&g"
冒頭,ぼうとう,"모두, 서두",JLPT_1 JLPT,;fLj|=5wa`
豊富,ほうふ,풍부함,JLPT_1 JLPT,rg6+bQmjlX
抱負,ほうふ,포부,JLPT_1 JLPT,tDI2jSd*6$
飽和,ほうわ,포화,JLPT_1 JLPT,bVboY8Id5H
