expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
意義,いぎ,의의,JLPT_1 JLPT,C[^&3Z2ch#,この調査には大きな意義がある。,このちょうさにはおおきないぎがある。,이 조사에는 큰 의의가 있다.
憤り,いきどおり,분노,JLPT_1 JLPT,l$U{@B=vw<,不公平な決定に強い憤りを感じた。,ふこうへいなけっていにつよいいきどおりをかんじた。,불공정한 결정에 강한 분노를 느꼈다.
憩い,いこい,휴식,JLPT_1 JLPT,?jey-pZwoj,この公園は市民の憩いの場になっている。,このこうえんはしみんのいこいのばになっている。,이 공원은 시민들의 휴식처가 되고 있다.
潔い,いさぎよい,"떳떳하다, 미련 없이 깨끗하다",JLPT_1 JLPT,"i(It,DybS%",彼は潔く自分の負けを認めた。,かれはいさぎよくじぶんのまけをみとめた。,그는 미련 없이 자신의 패배를 인정했다.
遺跡,いせき,유적,JLPT_1 JLPT,?FIFf)w<Y=,発掘された遺跡を専門家が調査した。,はっくつされたいせきをせんもんかがちょうさした。,발굴된 유적을 전문가가 조사했다.
依然として,いぜんとして,여전히,JLPT_1 JLPT,[Bm.zkJ_A|,状況は依然として厳しいままだ。,じょうきょうはいぜんとしてきびしいままだ。,상황은 여전히 어려운 상태다.
至る,いたる,이르다,JLPT_1 JLPT,S.6R}>n*i{,長い議論の末、合意に至った。,ながいぎろんのすえ、ごういにいたった。,긴 논의 끝에 합의에 이르렀다.
一概に,いちがいに,"일률적으로, 무조건",JLPT_1 JLPT,1jJlad#n7C,一概に高価な品が優れているとは言えない。,いちがいにこうかなものがすぐれているとはいえない。,비싼 물건이 무조건 뛰어나다고는 할 수 없다.
偽り,いつわり,거짓,JLPT_1 JLPT,qOma$Zh#%6,彼の証言には偽りが一つもなかった。,かれのしょうげんにはいつわりがひとつもなかった。,그의 증언에는 거짓이 하나도 없었다.
挑む,いどむ,도전하다,JLPT_1 JLPT,Dp[)|u%xn-,若手選手が世界記録に挑んだ。,わかてせんしゅがせかいきろくにいどんだ。,젊은 선수가 세계 기록에 도전했다.
否めない,いなめない,부정할 수 없다,JLPT_1 JLPT,=+K;m8xe/(,今回の判断が遅すぎたことは否めない。,こんかいのはんだんがおそすぎたことはいなめない。,이번 판단이 너무 늦었다는 것은 부정할 수 없다.
戒める,いましめる,"경고하다, 제지하다",JLPT_1 JLPT,+9t7vbQ5GJ,父は私の軽率な行動を厳しく戒めた。,ちちはわたしのけいそつなこうどうをきびしくいましめた。,아버지는 나의 경솔한 행동을 엄하게 경고했다.
印象,いんしょう,인상,JLPT_1 JLPT,g[$mbs]^Q{,初対面では落ち着いた人という印象を受けた。,しょたいめんではおちついたひとといういんしょうをうけた。,첫 만남에서는 차분한 사람이라는 인상을 받았다.
訴える,うったえる,"호소하다, 소송하다",JLPT_1 JLPT,=)TAN3%JfR,住民は市に騒音対策を訴えた。,じゅうみんはしにそうおんたいさくをうったえた。,주민들은 시에 소음 대책을 호소했다.
促す,うながす,"재촉하다, 촉구하다",JLPT_1 JLPT,"?NCCb),>Q[",医師は患者に十分な休養を促した。,いしはかんじゃにじゅうぶんなきゅうようをうながした。,의사는 환자에게 충분한 휴식을 권고했다.
潤う,うるおう,"촉촉해지다, 혜택을 받다",JLPT_1 JLPT,"A2`Dk0,xc@",雨のおかげで乾いた畑が潤った。,あめのおかげでかわいたはたけがうるおった。,비 덕분에 메마른 밭이 촉촉해졌다.
潤す,うるおす,"축이다, 적시다, 윤택하게 하다",JLPT_1 JLPT,*qj>Aj/]uQ,乾燥した唇を保湿剤で潤した。,かんそうしたくちびるをほしつざいでうるおした。,건조한 입술을 보습제로 촉촉하게 했다.
栄養,えいよう,영양,JLPT_1 JLPT,b(q86fjJ/j,成長期の子供には十分な栄養が必要だ。,せいちょうきのこどもにはじゅうぶんなえいようがひつようだ。,성장기 아이에게는 충분한 영양이 필요하다.
閲覧,えつらん,열람,JLPT_1 JLPT,`4eF:r2&h9,この資料は館内でのみ閲覧できます。,このしりょうはかんないでのみえつらんできます。,이 자료는 관내에서만 열람할 수 있습니다.
円滑,えんかつ,원활함,JLPT_1 JLPT,"pDJl@,l%N6",司会者のおかげで会議が円滑に進んだ。,しかいしゃのおかげでかいぎがえんかつにすすんだ。,사회자 덕분에 회의가 원활하게 진행되었다.
演奏,えんそう,연주,JLPT_1 JLPT,&6lYRa%DfN,姉は結婚式でピアノを演奏した。,あねはけっこんしきでぴあのをえんそうした。,언니는 결혼식에서 피아노를 연주했다.
応募,おうぼ,응모,JLPT_1 JLPT,;wf%Cs5*HF,締め切りまでに写真コンテストへ応募した。,しめきりまでにしゃしんこんてすとへおうぼした。,마감 전에 사진 공모전에 응모했다.
大幅,おおはば,대폭적임,JLPT_1 JLPT,tYbjM+jZ0+,新制度で手続きが大幅に簡素化された。,しんせいどでてつづきがおおはばにかんそかされた。,새 제도로 절차가 대폭 간소화되었다.
丘,おか,언덕,JLPT_1 JLPT,"o{O,@4Bd&l",丘の上から港町を見下ろした。,おかのうえからみなとまちをみおろした。,언덕 위에서 항구 도시를 내려다보았다.
お菓子,おかし,과자,JLPT_1 JLPT,Xj8PXH2V%-,母が焼いたお菓子を友達に配った。,ははがやいたおかしをともだちにくばった。,어머니가 구운 과자를 친구들에게 나눠 주었다.
怠る,おこたる,"게을리하다, 방심하다",JLPT_1 JLPT,"jYq,v6!UzP",安全確認を怠ると大事故につながる。,あんぜんかくにんをおこたるとだいじこにつながる。,안전 확인을 게을리하면 큰 사고로 이어진다.
惜しむ,おしむ,"아까워하다, 애석해하다",JLPT_1 JLPT,OLuZl]U;($,監督は引退する名選手との別れを惜しんだ。,かんとくはいんたいするめいせんしゅとのわかれをおしんだ。,감독은 은퇴하는 명선수와의 이별을 아쉬워했다.
襲う,おそう,"덮치다, 습격하다",JLPT_1 JLPT,U3TrMxj>-l,激しい眠気が運転中の彼を襲った。,はげしいねむけがうんてんちゅうのかれをおそった。,심한 졸음이 운전 중인 그를 덮쳤다.
穏やか,おだやか,온화함,JLPT_1 JLPT,IA@q!R6GBV,波のない穏やかな海に船を出した。,なみのないおだやかなうみにふねをだした。,파도 없는 잔잔한 바다로 배를 띄웠다.
訪れる,おとずれる,방문하다,JLPT_1 JLPT,z{1gD`PEkY,春が訪れると庭の桜が一斉に咲く。,はるがおとずれるとにわのさくらがいっせいにさく。,봄이 찾아오면 정원의 벚꽃이 일제히 핀다.
衰える,おとろえる,쇠약해지다,JLPT_1 JLPT,]6)WJ1k7a8,年齢とともに足腰の力が衰えてきた。,ねんれいとともにあしこしのちからがおとろえてきた。,나이가 들면서 하체의 힘이 약해졌다.
脅かす,おびやかす,위협하다,JLPT_1 JLPT,rO-zDPi*Fg,外来種が島の生態系を脅かしている。,がいらいしゅがしまのせいたいけいをおびやかしている。,외래종이 섬의 생태계를 위협하고 있다.
表向き,おもてむき,표면상,JLPT_1 JLPT,"]0,2q^}r]p",二人は表向きは仲が良いように見える。,ふたりはおもてむきはなかがよいようにみえる。,두 사람은 겉으로는 사이가 좋아 보인다.
愚かな,おろかな,어리석은,JLPT_1 JLPT,<O^vrGr$_^,一時の感情で辞職するのは愚かな選択だ。,いっときのかんじょうでじしょくするのはおろかなせんたくだ。,한때의 감정으로 사직하는 것은 어리석은 선택이다.
恩恵,おんけい,은혜,JLPT_1 JLPT,HHRV0or2=*,私たちの暮らしは森林の恩恵を受けている。,わたしたちのくらしはしんりんのおんけいをうけている。,우리의 생활은 산림의 혜택을 받고 있다.
改革,かいかく,개혁,JLPT_1 JLPT,Q!2n:DZ;c#,政府は古い税制の改革に着手した。,せいふはふるいぜいせいのかいかくにちゃくしゅした。,정부는 낡은 세제 개혁에 착수했다.
貝殻,かいがら,조개껍데기,JLPT_1 JLPT,4JuO-U~C2y,浜辺で色鮮やかな貝殻を拾った。,はまべでいろあざやかなかいがらをひろった。,해변에서 알록달록한 조개껍데기를 주웠다.
海峡,かいきょう,해협,JLPT_1 JLPT,]>=F#iS^qS,船は狭い海峡をゆっくり通過した。,ふねはせまいかいきょうをゆっくりつうかした。,배는 좁은 해협을 천천히 통과했다.
回顧,かいこ,회고,JLPT_1 JLPT,n&%?o`dWt@,晩年の作品を回顧する展覧会が開かれた。,ばんねんのさくひんをかいこするてんらんかいがひらかれた。,말년의 작품을 회고하는 전시회가 열렸다.
介護,かいご,간호,JLPT_1 JLPT,.6BM7i1V)!,祖父の介護を家族で分担している。,そふのかいごをかぞくでぶんたんしている。,할아버지 간병을 가족이 분담하고 있다.
回収,かいしゅう,회수,JLPT_1 JLPT,"9,QFRnS2}&",店は欠陥のある商品を直ちに回収した。,みせはけっかんのあるしょうひんをただちにかいしゅうした。,가게는 결함이 있는 상품을 즉시 회수했다.
怪獣,かいじゅう,괴수,JLPT_1 JLPT,4hD6%x+z&p,巨大な怪獣が街を壊す映画を見た。,きょだいなかいじゅうがまちをこわすえいがをみた。,거대한 괴수가 도시를 파괴하는 영화를 봤다.
解消,かいしょう,해소,JLPT_1 JLPT,A!;RQhWQw4,運動を始めて肩こりが解消した。,うんどうをはじめてかたこりがかいしょうした。,운동을 시작한 뒤 어깨 결림이 해소되었다.
改善,かいぜん,개선,JLPT_1 JLPT,SwOe!1e$Hi,利用者の声を基にサービスを改善した。,りようしゃのこえをもとにさーびすをかいぜんした。,이용자의 의견을 바탕으로 서비스를 개선했다.
開拓,かいたく,개척,JLPT_1 JLPT,-KHn(I5s0P,祖父は荒れ地を開拓して農場を築いた。,そふはあれちをかいたくしてのうじょうをきずいた。,할아버지는 황무지를 개척해 농장을 일구었다.
概略,がいりゃく,"개략, 대략",JLPT_1 JLPT,Z?]VbRbQM.,担当者が計画の概略を簡潔に説明した。,たんとうしゃがけいかくのがいりゃくをかんけつにせつめいした。,담당자가 계획의 개략을 간결하게 설명했다.
省みる,かえりみる,"돌이켜보다, 반성하다",JLPT_1 JLPT,l/YYI%R%4<,過去の失敗を省みて方針を改めた。,かこのしっぱいをかえりみてほうしんをあらためた。,과거의 실패를 되돌아보고 방침을 고쳤다.
輝く,かがやく,빛나다,JLPT_1 JLPT,F)yoTPnaU~,朝日を浴びて雪山が金色に輝いた。,あさひをあびてゆきやまがきんいろにかがやいた。,아침 햇살을 받아 설산이 금빛으로 빛났다.
垣根,かきね,울타리,JLPT_1 JLPT,67^$dm%%0z,隣家との境に低い垣根を設けた。,りんかとのさかいにひくいかきねをもうけた。,이웃집과의 경계에 낮은 울타리를 설치했다.
画一的,かくいつてき,획일적,JLPT_1 JLPT,IaVPjO[zDu,画一的な教育では個性が育ちにくい。,かくいつてきなきょういくではこせいがそだちにくい。,획일적인 교육으로는 개성이 자라기 어렵다.
架空,かくう,가공,JLPT_1 JLPT,Dm[7+M}[8C,この小説は架空の王国を舞台にしている。,このしょうせつはかくうのおうこくをぶたいにしている。,이 소설은 가상의 왕국을 배경으로 한다.
格差,かくさ,격차,JLPT_1 JLPT,#G8t+9j=b4,都市と地方の所得格差が広がっている。,としとちほうのしょとくかくさがひろがっている。,도시와 지방의 소득 격차가 벌어지고 있다.
各種,かくしゅ,각종,JLPT_1 JLPT,#k`QaAs+/N,売り場には各種の文房具がそろっている。,うりばにはかくしゅのぶんぼうぐがそろっている。,매장에는 각종 문구류가 갖춰져 있다.
駆ける,かける,"(전속력으로) 달리다, 뛰다",JLPT_1 JLPT,Q3rRsZ[{#5,馬が草原を風のように駆けていった。,うまがそうげんをかぜのようにかけていった。,말이 초원을 바람처럼 달려갔다.
火災,かさい,화재,JLPT_1 JLPT,"b,&*oRT|%o",火災に備えて避難経路を確認した。,かさいにそなえてひなんけいろをかくにんした。,화재에 대비해 대피 경로를 확인했다.
賢い,かしこい,현명하다,JLPT_1 JLPT,+/fYLgM3.7,分からないと言える人はむしろ賢い。,わからないといえるひとはむしろかしこい。,모른다고 말할 수 있는 사람이 오히려 현명하다.
稼ぐ,かせぐ,(돈을) 벌다,JLPT_1 JLPT,v|I;9$9y<2,彼はアルバイトをして学費を稼いだ。,かれはあるばいとをしてがくひをかせいだ。,그는 아르바이트를 해서 학비를 벌었다.
偏る,かたよる,치우치다,JLPT_1 JLPT,m@^Kt7&h8n,その記事は一方の主張に偏っている。,そのきじはいっぽうのしゅちょうにかたよっている。,그 기사는 한쪽 주장에 치우쳐 있다.
花壇,かだん,화단,JLPT_1 JLPT,G]TZS)qLVD,校庭の花壇にチューリップを植えた。,こうていのかだんにちゅーりっぷをうえた。,교정의 화단에 튤립을 심었다.
兼ねる,かねる,겸하다,JLPT_1 JLPT,<7WoBnbp*Z,この部屋は客間と書斎を兼ねている。,このへやはきゃくまとしょさいをかねている。,이 방은 객실과 서재를 겸하고 있다.
絡む,からむ,얽히다,JLPT_1 JLPT,"`e$Tn,RdwQ",複数の利害が複雑に絡む問題だ。,ふくすうのりがいがふくざつにからむもんだいだ。,여러 이해관계가 복잡하게 얽힌 문제다.
管轄,かんかつ,관할,JLPT_1 JLPT,"3C,i&S8bAu",この道路は県の管轄になっている。,このどうろはけんのかんかつになっている。,이 도로는 현의 관할이다.
干渉,かんしょう,간섭,JLPT_1 JLPT,.uvEmy*>^V,親が子供の進路に干渉しすぎてはいけない。,おやがこどものしんろにかんしょうしすぎてはいけない。,부모가 자녀의 진로에 지나치게 간섭해서는 안 된다.
頑丈,がんじょう,"튼튼함, 견고함",JLPT_1 JLPT,4OUj{+0aX/,この箱は落としても壊れないほど頑丈だ。,このはこはおとしてもこわれないほどがんじょうだ。,이 상자는 떨어뜨려도 부서지지 않을 만큼 튼튼하다.
鑑定,かんてい,(미술품 등의) 감정,JLPT_1 JLPT,&S]$R~qpZ1,専門家に古い掛け軸を鑑定してもらった。,せんもんかにふるいかけじくをかんていしてもらった。,전문가에게 오래된 족자를 감정받았다.
監督,かんとく,감독,JLPT_1 JLPT,U3=G5f2Wjf,新監督の下でチームは守備を強化した。,しんかんとくのもとでちーむはしゅびをきょうかした。,새 감독 아래에서 팀은 수비를 강화했다.
芳しくない,かんばしくない,"바람직하지 않다, 별로 좋지 않다",JLPT_1 JLPT,aIp/-I8mn@,新商品の売れ行きはあまり芳しくない。,しんしょうひんのうれゆきはあまりかんばしくない。,신상품의 판매 실적은 그다지 좋지 않다.
緩和,かんわ,완화,JLPT_1 JLPT,9R6cdX$yZ>,薬を飲むと痛みが少し緩和された。,くすりをのむといたみがすこしかんわされた。,약을 먹자 통증이 조금 완화되었다.
企業,きぎょう,기업,JLPT_1 JLPT,"9[yYj,6.;{",多くの企業が省エネ設備を導入した。,おおくのきぎょうがしょうえねせつびをどうにゅうした。,많은 기업이 에너지 절약 설비를 도입했다.
戯曲,ぎきょく,희곡,JLPT_1 JLPT,#{m!^}JgbL,その劇作家は歴史を題材に戯曲を書いた。,そのげきさっかはれきしをだいざいにぎきょくをかいた。,그 극작가는 역사를 소재로 희곡을 썼다.
既婚者,きこんしゃ,기혼자,JLPT_1 JLPT,[]>5{.=ecL,この保険は既婚者も独身者も加入できる。,このほけんはきこんしゃもどくしんしゃもかにゅうできる。,이 보험은 기혼자도 미혼자도 가입할 수 있다.
築く,きずく,쌓다,JLPT_1 JLPT,|H0%KfYZ[X,長年の努力で顧客との信頼を築いた。,ながねんのどりょくでこきゃくとのしんらいをきずいた。,오랜 노력으로 고객과의 신뢰를 쌓았다.
軌跡,きせき,궤적,JLPT_1 JLPT,U)}9NR3xHL,衛星の軌跡が画面に表示された。,えいせいのきせきががめんにひょうじされた。,위성의 궤적이 화면에 표시되었다.
偽造,ぎぞう,위조,JLPT_1 JLPT,WhT6SD_DyW,他人名義の契約書を偽造した疑いがある。,たにんめいぎのけいやくしょをぎぞうしたうたがいがある。,타인 명의의 계약서를 위조한 혐의가 있다.
厳しい,きびしい,"엄하다, 심하다",JLPT_1 JLPT,"xof${~<y,I",山頂では厳しい寒さが続いている。,さんちょうではきびしいさむさがつづいている。,산 정상에서는 혹독한 추위가 계속되고 있다.
寄附,きふ,기부,JLPT_1 JLPT,2VmY<-Lkju,被災地の学校に図書を寄附した。,ひさいちのがっこうにとしょをきふした。,재해 지역 학교에 도서를 기부했다.
義務,ぎむ,의무,JLPT_1 JLPT,QxT|i+j4#K,納税は国民に課された義務である。,のうぜいはこくみんにかされたぎむである。,납세는 국민에게 부과된 의무다.
脚本,きゃくほん,"각본, 대본",JLPT_1 JLPT,"?,y$XHw3UK",俳優たちは脚本を読みながら稽古した。,はいゆうたちはきゃくほんをよみながらけいこした。,배우들은 대본을 읽으며 연습했다.
救援,きゅうえん,구원,JLPT_1 JLPT,?_yKe+/btt,救援物資を積んだ車が被災地へ向かった。,きゅうえんぶっしをつんだくるまがひさいちへむかった。,구호 물자를 실은 차가 재해 지역으로 향했다.
丘陵,きゅうりょう,"구릉, 언덕",JLPT_1 JLPT,"rq),b1iqem",なだらかな丘陵に茶畑が広がっている。,なだらかなきゅうりょうにちゃばたけがひろがっている。,완만한 구릉에 차밭이 펼쳐져 있다.
凝縮,ぎょうしゅく,응축,JLPT_1 JLPT,_fHYt~gz#],果物の甘みを凝縮した濃厚なソースだ。,くだもののあまみをぎょうしゅくしたのうこうなそーすだ。,과일의 단맛을 응축한 진한 소스다.
行政,ぎょうせい,행정,JLPT_1 JLPT,`BTzWwo;3y,市の行政に住民の声を反映させる。,しのぎょうせいにじゅうみんのこえをはんえいさせる。,시 행정에 주민의 목소리를 반영한다.
驚嘆,きょうたん,경탄,JLPT_1 JLPT,"oM?It*h,n$",観客は彼女の見事な演技に驚嘆した。,かんきゃくはかのじょのみごとなえんぎにきょうたんした。,관객은 그녀의 훌륭한 연기에 감탄했다.
胸中,きょうちゅう,"흉중, 가슴 속, 심정",JLPT_1 JLPT,M$x#IW(_*-,彼の胸中には悔しさが渦巻いていた。,かれのきょうちゅうにはくやしさがうずまいていた。,그의 가슴속에는 분함이 소용돌이치고 있었다.
共鳴,きょうめい,"① 공명, 공진 ② 동감함, 공감함",JLPT_1 JLPT,"[d,&>Gurhn",彼女の理念に共鳴して活動に参加した。,かのじょのりねんにきょうめいしてかつどうにさんかした。,그녀의 이념에 공감해 활동에 참여했다.
拒否,きょひ,거부,JLPT_1 JLPT,6_td/s=@[7,会社は組合の要求を全面的に拒否した。,かいしゃはくみあいのようきゅうをぜんめんてきにきょひした。,회사는 노조의 요구를 전면 거부했다.
均衡,きんこう,균형,JLPT_1 JLPT,u/4(@1X1u^,需要と供給の均衡が崩れ始めた。,じゅようときょうきゅうのきんこうがくずれはじめた。,수요와 공급의 균형이 무너지기 시작했다.
緊迫,きんぱく,긴박함,JLPT_1 JLPT,"3iDf)&%;t,",両国の国境付近で緊迫した状態が続く。,りょうこくのこっきょうふきんできんぱくしたじょうたいがつづく。,양국의 국경 부근에서 긴박한 상태가 계속된다.
吟味,ぎんみ,"음미, 잘 조사하여 고름",JLPT_1 JLPT,"S?z,KU`Kg,",材料をよく吟味してから仕入れる。,ざいりょうをよくぎんみしてからしいれる。,재료를 꼼꼼히 살펴본 뒤 매입한다.
草花,くさばな,화초,JLPT_1 JLPT,EnO0yr[:PC,野山には春の草花が咲き始めた。,のやまにははるのくさばながさきはじめた。,들과 산에는 봄 화초가 피기 시작했다.
崩す,くずす,무너뜨리다,JLPT_1 JLPT,Vz}Lkf4u:(,体調を崩して三日間仕事を休んだ。,たいちょうをくずしてみっかかんしごとをやすんだ。,몸이 안 좋아져 사흘간 일을 쉬었다.
崩れる,くずれる,무너지다,JLPT_1 JLPT,aWoY$1nIMG,強風で積み上げた荷物が崩れた。,きょうふうでつみあげたにもつがくずれた。,강풍에 쌓아 둔 짐이 무너졌다.
砕ける,くだける,"부서지다, 깨지다",JLPT_1 JLPT,iPl>9nKgcs,古い皿が床に落ちて粉々に砕けた。,ふるいさらがゆかにおちてこなごなにくだけた。,낡은 접시가 바닥에 떨어져 산산이 깨졌다.
朽ち果てる,くちはてる,썩어 없어지다,JLPT_1 JLPT,wJqkLhrE9y,森の奥で朽ち果てた小屋を見つけた。,もりのおくでくちはてたこやをみつけた。,숲속에서 썩어 무너진 오두막을 발견했다.
覆す,くつがえす,뒤엎다,JLPT_1 JLPT,0:9enTfWO9,新たな証拠が有罪判決を覆した。,あらたなしょうこがゆうざいはんけつをくつがえした。,새로운 증거가 유죄 판결을 뒤집었다.
配る,くばる,나눠 주다,JLPT_1 JLPT,L%#R>Wru(q,駅前で通行人に広告を配った。,えきまえでつうこうにんにこうこくをくばった。,역 앞에서 행인들에게 광고지를 나눠 주었다.
工夫,くふう,"궁리, 고안",JLPT_1 JLPT,K6;oHQ|E]C,狭い部屋を広く使う工夫を凝らした。,せまいへやをひろくつかうくふうをこらした。,좁은 방을 넓게 쓰기 위한 궁리를 했다.
詳しい,くわしい,"상세하다, 자세하다",JLPT_1 JLPT,F^r3-EwR?H,姉はこの地域の歴史に詳しい。,あねはこのちいきのれきしにくわしい。,언니는 이 지역의 역사에 대해 잘 안다.
群衆,ぐんしゅう,군중,JLPT_1 JLPT,TU+lM2HVs?,群衆が広場を埋め尽くした。,ぐんしゅうがひろばをうめつくした。,군중이 광장을 가득 메웠다.
経緯,けいい,경위,JLPT_1 JLPT,"e*BLx}1oy,",事件が発覚した経緯を詳しく調べる。,じけんがはっかくしたけいいをくわしくしらべる。,사건이 발각된 경위를 자세히 조사한다.
傾斜する,けいしゃする,경사지다,JLPT_1 JLPT,W[EF1[T.TU,この道は海に向かって緩やかに傾斜している。,このみちはうみにむかってゆるやかにけいしゃしている。,이 길은 바다 쪽으로 완만하게 경사져 있다.
軽率,けいそつ,경솔함,JLPT_1 JLPT,9i&<$%%!er,確認せずに署名したのは軽率だった。,かくにんせずにしょめいしたのはけいそつだった。,확인하지 않고 서명한 것은 경솔했다.
欠陥,けっかん,결함,JLPT_1 JLPT,C[-l<-uy:e,設計上の欠陥が事故の原因になった。,せっけいじょうのけっかんがじこのげんいんになった。,설계상의 결함이 사고의 원인이 되었다.
欠乏,けつぼう,결핍,JLPT_1 JLPT,"A,L|pV*2z<",長い日照りで農村では水が欠乏している。,ながいひでりでのうそんではみずがけつぼうしている。,긴 가뭄으로 농촌에서는 물이 부족하다.
気配,けはい,"낌새, 기운",JLPT_1 JLPT,"=B,.2=Hw3l",玄関に誰かがいる気配を感じた。,げんかんにだれかがいるけはいをかんじた。,현관에 누군가 있는 기척을 느꼈다.
検閲,けんえつ,검열,JLPT_1 JLPT,}w21g_X*[U,独裁政権は報道に厳しい検閲を加えた。,どくさいせいけんはほうどうにきびしいけんえつをくわえた。,독재 정권은 보도에 엄격한 검열을 가했다.
嫌悪感,けんおかん,혐오감,JLPT_1 JLPT,yp/<cb!J.6,残酷な映像を見て強い嫌悪感を抱いた。,ざんこくなえいぞうをみてつよいけんおかんをいだいた。,잔혹한 영상을 보고 강한 혐오감을 느꼈다.
厳正,げんせい,엄정함,JLPT_1 JLPT,"<-)M1(4,V!",審判は規則に基づいて厳正に判定した。,しんぱんはきそくにもとづいてげんせいにはんていした。,심판은 규칙에 따라 엄정하게 판정했다.
顕著に,けんちょに,현저하게,JLPT_1 JLPT,(~k){rQbcQ,治療後は症状が顕著に改善した。,ちりょうごはしょうじょうがけんちょにかいぜんした。,치료 후에는 증상이 현저하게 개선되었다.
検討,けんとう,검토,JLPT_1 JLPT,VIMvL=ReX`,委員会は再発防止策を検討している。,いいんかいはさいはつぼうしさくをけんとうしている。,위원회는 재발 방지책을 검토하고 있다.
賢明,けんめい,현명함,JLPT_1 JLPT,x!>]V;<&*9,今は計画を延期するのが賢明だ。,いまはけいかくをえんきするのがけんめいだ。,지금은 계획을 연기하는 것이 현명하다.
行為,こうい,행위,JLPT_1 JLPT,"/-k2~,U<~f",他人を傷つける行為は許されない。,たにんをきずつけるこういはゆるされない。,남을 해치는 행위는 용납되지 않는다.
豪快,ごうかい,호쾌함,JLPT_1 JLPT,t|&{&V[hCz,彼は大きな魚を豪快にさばいた。,かれはおおきなさかなをごうかいにさばいた。,그는 큰 생선을 호쾌하게 손질했다.
貢献,こうけん,공헌,JLPT_1 JLPT,wC]yxTT&qf,この発明は医療の進歩に大きく貢献した。,このはつめいはいりょうのしんぽにおおきくこうけんした。,이 발명은 의료 발전에 크게 공헌했다.
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,&&A#d]{4g?,カレーに数種類の香辛料を加えた。,かれーにすうしゅるいのこうしんりょうをくわえた。,카레에 여러 종류의 향신료를 넣었다.
強盗,ごうとう,강도,JLPT_1 JLPT,KeY;=~M0q`,銀行を襲った強盗が翌朝逮捕された。,ぎんこうをおそったごうとうがよくあさたいほされた。,은행을 습격한 강도가 다음 날 아침 체포되었다.
興奮,こうふん,흥분,JLPT_1 JLPT,;3[<M>VCnj,優勝が決まり観客は興奮に包まれた。,ゆうしょうがきまりかんきゃくはこうふんにつつまれた。,우승이 확정되자 관객들은 흥분에 휩싸였다.
巧妙な,こうみょうな,교묘함,JLPT_1 JLPT,W4c:BD^HdL,犯人は巧妙な手口で監視を逃れた。,はんにんはこうみょうなてぐちでかんしをのがれた。,범인은 교묘한 수법으로 감시를 피했다.
