row,guid,expression,reading,status,matched_or_expected_form,detected_surface_form,reason,example_jp,example_reading_hiragana
360,HA39$4<O7S,恍ける·惚ける,とぼける,ambiguous,とぼける,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",彼は事情を知っているのにとぼけた。,かれはじじょうをしっているのにとぼけた。
392,I|~T6euZ&R,取(り)分け,とりわけ,ambiguous,とりわけ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",今年の夏は取り分け暑い。,ことしのなつはとりわけあつい。
393,zCt%1bEngS,蕩ける·盪ける,とろける,ambiguous,とろける,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",口に入れるとチョコレートが蕩けた。,くちにいれるとちょこれーとがとろけた。
445,d.Q@D)R`y/,～なんか,～なんか,ambiguous,~なんか,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",私なんかにはとても務まらない。,わたしなんかにはとてもつとまらない。
521,qMeKLND8O$,～派,～は,ambiguous,~は,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",社内では改革派と保守派が議論を続けている。,しゃないではかいかくはとほしゅはがぎろんをつづけている。
527,F@%B4+?fE|,ばい菌·黴菌,ばいきん,ambiguous,ばいきん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",外から帰ったら手を洗ってばい菌を落とす。,そとからかえったらてをあらってばいきんをおとす。
618,m]YR4b{=@z,自惚れ·己惚れ,うぬぼれ,ambiguous,うぬぼれ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",彼の自惚れが仲間との関係を悪くした。,かれのうぬぼれがなかまとのかんけいをわるくした。
639,dP^UCy0C~l,～営,～えい,ambiguous,~えい,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",この温泉は町営の施設です。,このおんせんはちょうえいのしせつです。
669,"oI,HaDOI/S",おおい (かん),おおい (かん),ambiguous,おおいかん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",おおい、こっちを手伝ってくれ。,おおい、こっちをてつだってくれ。
686,nplO^(LG?d,おごる (ゆうしょくを～),おごる (ゆうしょくを～),ambiguous,おごるゆうしょくを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",合格祝いに夕食をおごった。,ごうかくいわいにゆうしょくをおごった。
744,KEYq:ht}?d,我,が～,ambiguous,が~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",我が強い人とは意見がぶつかりやすい。,ががつよいひととはいけんがぶつかりやすい。
746,d]il$5=Qs$,～界,～かい,ambiguous,~かい,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",芸能界で長く活躍している。,げいのうかいでながくかつやくしている。
747,PH:pbBSE|j,～街,～がい,ambiguous,~がい,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",駅前の商店街は夜もにぎやかだ。,えきまえのしょうてんがいはよるもにぎやかだ。
798,h*j3Yxxcj{,かく (はじを),かく (はじを),ambiguous,かくはじを,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",人前で恥をかいて顔が熱くなった。,ひとまえではじをかいてかおがあつくなった。
799,G#l-jHUMTG,～画,～かく,ambiguous,~かく,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",この漢字は十二画で書ける。,このかんじはじゅうにかくでかける。
817,c#>^nQjhVy,掛～,かけ～,ambiguous,かけ~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",品物を掛けで買い、月末に払った。,しなものをかけでかい、げつまつにはらった。
818,"Lr[e?zZ5,<",～掛け,～かけ,ambiguous,~かけ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",壁に帽子掛けを取り付けた。,かべにぼうしかけをとりつけた。
837,p/$/VrksK},片～,かた～,ambiguous,かた~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",片手で荷物を持ち上げた。,かたてでにもつをもちあげた。
1003,wkNK|ibT&!,～狂,～きょう,ambiguous,~きょう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",兄は毎週試合を見るほどの野球狂だ。,あにはまいしゅうしあいをみるほどのやきゅうきょうだ。
1042,uzRZwLFG-t,～きり,～きり,ambiguous,~きり,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",二人きりで今後について話し合った。,ふたりきりでこんごについてはなしあった。
1068,ziu-}:42)#,くじ (～をひく),くじ (～をひく),ambiguous,くじ~をひく,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",くじを引いて当番を決めた。,くじをひいてとうばんをきめた。
1131,Mu?thgozeE,当～,とう～,ambiguous,とう~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",当社は環境保護に力を入れている。,とうしゃはかんきょうほごにちからをいれている。
1207,d*;1c9:{uT,痣∙黶,あざ,ambiguous,あざ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",転んで膝に青い痣ができた。,ころんでひざにあおいあざができた。
1215,z&GHas=YL$,褪せる (こえが～),あせる (こえが～),ambiguous,あせるこえが~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",古い写真は色が褪せていた。,ふるいしゃしんはいろがあせていた。
1228,FnD29QA$}R,～宛,～あて,ambiguous,~あて,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",会社宛に必要書類を郵送した。,かいしゃあてにひつようしょるいをゆうそうした。
1261,txB~izZs$4,～合せ,～あわせ,ambiguous,~あわせ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",菓子の詰め合せを贈った。,かしのつめあわせをおくった。
1282,"cEGS[d,K$s","(花を〜) 生ける, 活ける",(はなを～) いける,ambiguous,はなを~いける,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",花瓶に季節の花を生けた。,かびんにきせつのはなをいけた。
1309,A<!E3T_0vF,～署,～しょ,ambiguous,~しょ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",盗難届を警察署に提出した。,とうなんとどけをけいさつしょにていしゅつした。
1310,y^!rJ~5v8t,～症,～しょう,ambiguous,~しょう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",医師は彼を花粉症と診断した。,いしはかれをかふんしょうとしんだんした。
1311,w[XPaJS[}z,～証,～しょう,ambiguous,~しょう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",受付で学生証を提示した。,うけつけでがくせいしょうをていじした。
1312,P&R@B~a4:4,～嬢,～じょう,ambiguous,~じょう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",司会者は彼女を鈴木嬢と紹介した。,しかいしゃはかのじょをすずきじょうとしょうかいした。
1367,jQ&{mv~mg},～心,～しん,ambiguous,~しん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",好奇心が新しい発見につながる。,こうきしんがあたらしいはっけんにつながる。
1401,zsq|f`1Yv,粋(粹),すい,ambiguous,すい,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",技術の粋を集めた建物が完成した。,ぎじゅつのすいをあつめたたてものがかんせいした。
1414,iDqa!wq<Tq,すくう (みずを～),すくう (みずを～),ambiguous,すくうみずを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",ひしゃくで井戸の水をすくった。,ひしゃくでいどのみずをすくった。
1481,CVmDxN*tGx,伜(倅·悴),せがれ,ambiguous,せがれ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",うちの伜は今年社会人になった。,うちのせがれはことししゃかいじんになった。
1576,oD<qmOFt48,そり (～にのる),そり (～にのる),ambiguous,そり~にのる,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",子供たちは雪の坂でそりに乗った。,こどもたちはゆきのさかでそりにのった。
1728,fQ0a}K7p9f,～著,～ちょ,ambiguous,~ちょ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",現役医師著の解説書がよく売れている。,げんえきいしちょのかいせつしょがよくうれている。
1781,jvc[~0R.1u,辻褄 (はなしの～),つじつま (はなしの～),ambiguous,つじつまはなしの~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",彼の話はところどころ辻褄が合わない。,かれのはなしはところどころつじつまがあわない。
1797,ndE`WwYDbY,つぶる (めを～),つぶる (めを～),ambiguous,つぶるめを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",まぶしい光を避けて目をつぶった。,まぶしいひかりをさけてめをつぶった。
1886,lrri&x/?!~,～割,～わり,ambiguous,~わり,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",調査では回答者の八割が新案に賛成した。,ちょうさではかいとうしゃのはちわりがしんあんにさんせいした。
1892,wqukd{`F!4,果無い·果敢無い·儚い,はかない,ambiguous,はかない,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",夢のような時間は儚く過ぎ去った。,ゆめのようなじかんははかなくすぎさった。
1985,cpa^uYdTpm,～宗,～しゅう,ambiguous,~しゅう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",祖父の葬儀は浄土宗の寺で行われた。,そふのそうぎはじょうどしゅうのてらでおこなわれた。
2152,fb3Sk}Zmt.,謙る·遜る,へりくだる,ambiguous,へりくだる,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",目上の人にも必要以上に遜ることはない。,めうえのひとにもひつよういじょうにへりくだることはない。
2218,is?TC|:$uN,干し～,ほし～,ambiguous,ほし~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",祖母が作った甘い干し柿をおやつに食べた。,そぼがつくったあまいほしがきをおやつにたべた。
2257,M3C.y[*%DG,マイ～,マイ～,ambiguous,まい~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",通勤用にマイカーを購入した。,つうきんようにまいかーをこうにゅうした。
2275,z5+QCF_t-U,～増し,～まし,ambiguous,~まし,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",休日の料金は平日より二割増しだ。,きゅうじつのりょうきんはへいじつよりにわりましだ。
2281,uN3HnTL61M,またがる (うまを～),またがる (うまを～),ambiguous,またがるうまを~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",少年は馬にまたがって草原を駆けた。,しょうねんはうまにまたがってそうげんをかけた。
2295,"sqX,LlH3-A",～まみれ,～まみれ,ambiguous,~まみれ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",雨の中を走って靴が泥まみれになった。,あめのなかをはしってくつがどろまみれになった。
2307,JZMc!Ve6^U,～味,～み,ambiguous,~み,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",よく煮込むと野菜の甘味が増す。,よくにこむとやさいのあまみがます。
2363,.d8S>K-=k,毟る·挘る,むしる,ambiguous,むしる,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",庭の雑草を一本ずつ毟った。,にわのざっそうをいっぽんずつむしった。
2409,"kks{,EwPh",～網,～もう,ambiguous,~もう,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",大雪で地域の交通網がまひした。,おおゆきでちいきのこうつうもうがまひした。
2419,C7rE2*5O^8,踠く·藻掻く,もがく,ambiguous,もがく,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",流れに逆らって必死に藻掻いた。,ながれにさからってひっしにもがいた。
2450,O.[e|Y6E?j,～薬,～やく,ambiguous,~やく,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",頭痛薬を飲んでしばらく横になった。,ずつうやくをのんでしばらくよこになった。
2465,J/n?:UTJiF,やり通す·遣り通す,やりとおす,ambiguous,やりとおす,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",何度失敗しても、任された調査を最後までやり通した。,なんどしっぱいしても、まかされたちょうさをさいごまでやりとおした。
2469,QcD#WpcqE6,～油,～ゆ,ambiguous,~ゆ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",船は燃料として重油を積み込んだ。,ふねはねんりょうとしてじゅうゆをつみこんだ。
2529,u5UVAmt|+p,よし (かん),よし (かん),ambiguous,よしかん,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",よし、これで準備は終わった。,よし、これでじゅんびはおわった。
2534,Jty=:!ShWn,よって (よりどころ),よって (よりどころ),ambiguous,よってよりどころ,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",事故によって電車が遅れた。,じこによってでんしゃがおくれた。
2541,AF4/UYB9T5,～寄り,～より,ambiguous,~より,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",この色は青寄りの灰色だ。,このいろはあおよりのはいいろだ。
2688,"y]|C%f,K4~",罅 (かべの～),ひび (かべの～),ambiguous,ひびかべの~,,"접사 기호, 괄호, 슬래시 또는 공백을 포함한 특수 표기",古い建物の壁に大きな罅が入っている。,ふるいたてもののかべにおおきなひびがはいっている。
